STAR Bfield Maps by Foley, Love, & Trentalange 
Full Field in the NORMAL direction: October 1998
57 steps in Z
28 steps in R
   R      Z      Br       Bz 
 212.0 -240.0   -98.10  4981.09
 219.5 -240.0  -103.73  4996.07
 222.0 -240.0  -106.96  5003.38
  14.5 -230.0   -15.96  4934.54
  17.0 -230.0   -18.91  4935.93
  24.5 -230.0   -24.43  4943.14
  27.0 -230.0   -26.77  4946.36
  34.5 -230.0   -29.71  4955.94
  37.0 -230.0   -30.92  4958.81
  44.5 -230.0   -30.81  4970.18
  47.0 -230.0   -30.69  4973.79
  59.5 -230.0   -21.91  4990.04
  64.5 -230.0   -18.06  4994.87
  79.5 -230.0    -1.44  5003.41
  84.5 -230.0     3.77  5003.11
  99.5 -230.0    17.60  4993.57
 104.5 -230.0    19.88  4987.47
 119.5 -230.0    19.60  4968.12
 124.5 -230.0    16.36  4961.67
 139.5 -230.0     2.21  4947.24
 144.5 -230.0    -4.36  4944.45
 159.5 -230.0   -23.71  4943.05
 164.5 -230.0   -30.95  4944.71
 179.5 -230.0   -48.21  4953.93
 184.5 -230.0   -54.36  4957.91
 199.5 -230.0   -68.88  4974.36
 202.0 -230.0   -72.10  4977.88
 209.5 -230.0   -77.16  4988.85
 212.0 -230.0   -80.10  4993.44
 219.5 -230.0   -83.83  5006.33
 222.0 -230.0   -86.71  5012.41
  14.5 -220.0   -10.16  4951.49
  17.0 -220.0   -12.21  4952.20
  24.5 -220.0   -15.50  4957.08
  27.0 -220.0   -17.15  4959.13
  34.5 -220.0   -18.67  4965.44
  37.0 -220.0   -19.62  4967.02
  44.5 -220.0   -19.18  4974.48
  47.0 -220.0   -19.25  4976.65
  59.5 -220.0   -13.32  4986.58
  64.5 -220.0   -11.12  4989.29
  79.5 -220.0    -0.76  4994.03
  84.5 -220.0     2.12  4993.58
  99.5 -220.0    10.10  4987.15
 104.5 -220.0    11.00  4983.12
 119.5 -220.0     9.92  4971.13
 124.5 -220.0     7.37  4966.97
 139.5 -220.0    -2.76  4958.08
 144.5 -220.0    -7.61  4956.23
 159.5 -220.0   -21.80  4956.34
 164.5 -220.0   -27.45  4957.71
 179.5 -220.0   -40.53  4966.23
 184.5 -220.0   -45.41  4969.76
 199.5 -220.0   -56.09  4985.07
 202.0 -220.0   -58.66  4988.16
 209.5 -220.0   -61.76  4998.18
 212.0 -220.0   -64.11  5002.23
 219.5 -220.0   -66.36  5014.40
 222.0 -220.0   -69.03  5019.85
  14.5 -210.0    -6.54  4962.57
  17.0 -210.0    -7.84  4962.77
  24.5 -210.0    -9.87  4965.95
  27.0 -210.0   -10.93  4967.36
  34.5 -210.0   -11.81  4971.34
