STAR Bfield Maps by Foley, Love, & Trentalange 
Full Field in the REVERSED direction: October 1998
57 steps in Z
28 steps in R
   R      Z      Br       Bz 
 119.5 -230.0   -19.62 -4967.43
 124.5 -230.0   -16.39 -4961.40
 139.5 -230.0    -2.19 -4946.72
 144.5 -230.0     4.71 -4944.38
 159.5 -230.0    23.91 -4942.38
 164.5 -230.0    30.80 -4944.81
 179.5 -230.0    48.23 -4954.38
 184.5 -230.0    54.79 -4958.13
 199.5 -230.0    68.67 -4974.41
 202.0 -230.0    72.14 -4978.09
 209.5 -230.0    77.16 -4989.05
 212.0 -230.0    80.07 -4993.87
 219.5 -230.0    84.06 -5006.00
 222.0 -230.0    86.69 -5013.41
  14.5 -220.0    10.23 -4952.24
  17.0 -220.0    12.15 -4952.59
  24.5 -220.0    15.68 -4957.24
  27.0 -220.0    17.19 -4959.45
  34.5 -220.0    18.91 -4965.66
  37.0 -220.0    19.76 -4967.17
  44.5 -220.0    19.01 -4974.69
  47.0 -220.0    19.38 -4976.84
  59.5 -220.0    13.41 -4986.82
  64.5 -220.0    11.14 -4989.15
  79.5 -220.0     0.72 -4993.91
  84.5 -220.0    -2.15 -4993.33
  99.5 -220.0   -10.24 -4986.83
 104.5 -220.0   -11.10 -4982.92
 119.5 -220.0    -9.99 -4970.49
 124.5 -220.0    -7.46 -4966.83
 139.5 -220.0     2.75 -4957.66
 144.5 -220.0     7.83 -4956.30
 159.5 -220.0    21.93 -4955.72
 164.5 -220.0    27.25 -4957.88
 179.5 -220.0    40.50 -4966.63
 184.5 -220.0    45.66 -4970.07
 199.5 -220.0    55.86 -4985.13
 202.0 -220.0    58.58 -4988.45
 209.5 -220.0    61.71 -4998.41
 212.0 -220.0    64.00 -5002.77
 219.5 -220.0    66.55 -5014.17
 222.0 -220.0    68.91 -5020.94
  14.5 -210.0     6.57 -4963.18
  17.0 -210.0     7.74 -4963.14
  24.5 -210.0    10.03 -4966.11
  27.0 -210.0    10.95 -4967.64
  34.5 -210.0    11.99 -4971.59
  37.0 -210.0    12.52 -4972.31
  44.5 -210.0    11.93 -4977.29
  47.0 -210.0    12.19 -4978.64
  59.5 -210.0     8.41 -4984.66
  64.5 -210.0     7.03 -4985.78
  79.5 -210.0     0.73 -4988.46
  84.5 -210.0    -0.91 -4987.98
  99.5 -210.0    -5.38 -4983.63
 104.5 -210.0    -5.61 -4981.10
 119.5 -210.0    -4.07 -4973.29
 124.5 -210.0    -2.09 -4971.27
 139.5 -210.0     5.52 -4965.78
 144.5 -210.0     9.28 -4965.32
 159.5 -210.0    19.71 -4965.84
 164.5 -210.0    23.65 -4968.21
 179.5 -210.0    33.55 -4976.26
 184.5 -210.0    37.44 -4979.56
 199.5 -210.0    44.50 -4992.93
 202.0 -210.0    46.39 -4995.98
 209.5 -210.0    47.96 -5004.82
 212.0 -210.0    49.33 -5008.84
 219.5 -210.0    49.84 -5019.27
 222.0 -210.0    51.06 -5025.99
  14.5 -200.0     4.18 -4970.18
  17.0 -200.0     4.88 -4969.91
  24.5 -200.0     6.35 -4971.76
  27.0 -200.0     6.92 -4972.84
  34.5 -200.0     7.56 -4975.30
  37.0 -200.0     7.88 -4975.53
  44.5 -200.0     7.46 -4978.89
  47.0 -200.0     7.68 -4979.70
  59.5 -200.0     5.36 -4983.34
  64.5 -200.0     4.56 -4983.70
  79.5 -200.0     0.84 -4985.38
  84.5 -200.0    -0.02 -4984.87
  99.5 -200.0    -2.34 -4982.21
 104.5 -200.0    -2.23 -4980.47
 119.5 -200.0    -0.54 -4975.88
 124.5 -200.0     1.00 -4974.79
 139.5 -200.0     6.73 -4972.03
 144.5 -200.0     9.53 -4972.07
 159.5 -200.0    17.20 -4973.68
 164.5 -200.0    20.01 -4975.93
 179.5 -200.0    27.20 -4983.57
 184.5 -200.0    30.02 -4986.34
 199.5 -200.0    34.52 -4998.04
 202.0 -200.0    35.73 -5000.53
 209.5 -200.0    35.93 -5008.00
 212.0 -200.0    36.48 -5011.29
 219.5 -200.0    34.73 -5019.83
 222.0 -200.0    34.68 -5025.53
  14.5 -190.0     2.60 -4974.66
  17.0 -190.0     3.11 -4974.25
  24.5 -190.0     3.98 -4975.36
  27.0 -190.0     4.41 -4976.14
  34.5 -190.0     4.75 -4977.66
  37.0 -190.0     5.01 -4977.61
  44.5 -190.0     4.64 -4979.89
  47.0 -190.0     4.93 -4980.41
  59.5 -190.0     3.46 -4982.59
  64.5 -190.0     3.11 -4982.59
  79.5 -190.0     0.90 -4983.65
  84.5 -190.0     0.57 -4983.33
  99.5 -190.0    -0.59 -4981.74
 104.5 -190.0    -0.23 -4980.71
 119.5 -190.0     1.28 -4978.08
 124.5 -190.0     2.60 -4977.80
 139.5 -190.0     6.77 -4976.71
 144.5 -190.0     8.99 -4977.29
 159.5 -190.0    14.41 -4979.41
 164.5 -190.0    16.51 -4981.83
 179.5 -190.0    21.44 -4988.74
 184.5 -190.0    23.60 -4991.38
 199.5 -190.0    26.14 -5001.00
 202.0 -190.0    27.08 -5003.23
 209.5 -190.0    26.44 -5008.78
 212.0 -190.0    26.71 -5011.48
 219.5 -190.0    23.95 -5016.73
 222.0 -190.0    23.43 -5021.22
  14.5 -180.0     1.64 -4977.50
  17.0 -180.0     1.95 -4977.05
  24.5 -180.0     2.50 -4977.69
  27.0 -180.0     2.79 -4978.26
  34.5 -180.0     3.00 -4979.21
  37.0 -180.0     3.17 -4978.98
  44.5 -180.0     2.91 -4980.61
  47.0 -180.0     3.16 -4980.89
  59.5 -180.0     2.31 -4982.27
  64.5 -180.0     2.12 -4982.03
  79.5 -180.0     0.91 -4982.89
  84.5 -180.0     0.80 -4982.62
  99.5 -180.0     0.34 -4981.92
 104.5 -180.0     0.73 -4981.22
 119.5 -180.0     2.07 -4980.09
 124.5 -180.0     3.06 -4980.16
 139.5 -180.0     6.16 -4980.35
 144.5 -180.0     7.76 -4981.12
 159.5 -180.0    11.60 -4983.79
 164.5 -180.0    13.04 -4986.04
 179.5 -180.0    16.40 -4992.59
 184.5 -180.0    17.98 -4994.74
 199.5 -180.0    19.52 -5002.98
 202.0 -180.0    20.22 -5004.68
 209.5 -180.0    19.77 -5009.02
 212.0 -180.0    20.05 -5010.91
 219.5 -180.0    18.50 -5013.96
 222.0 -180.0    18.48 -5016.90
  14.5 -170.0     0.94 -4979.26
  17.0 -170.0     1.28 -4978.83
  24.5 -170.0     1.49 -4979.18
  27.0 -170.0     1.83 -4979.62
  34.5 -170.0     1.81 -4980.21
  37.0 -170.0     2.09 -4979.90
  44.5 -170.0     1.74 -4981.06
  47.0 -170.0     2.10 -4981.21
  59.5 -170.0     1.45 -4982.13
  64.5 -170.0     1.52 -4981.85
  79.5 -170.0     0.71 -4982.54
  84.5 -170.0     0.87 -4982.43
  99.5 -170.0     0.60 -4982.25
 104.5 -170.0     1.12 -4981.89
 119.5 -170.0     2.05 -4981.63
 124.5 -170.0     2.90 -4982.06
 139.5 -170.0     4.95 -4982.92
 144.5 -170.0     6.25 -4983.99
 159.5 -170.0     8.68 -4986.77
 164.5 -170.0     9.80 -4989.11
 179.5 -170.0    11.79 -4995.06
 184.5 -170.0    13.13 -4997.20
 199.5 -170.0    13.89 -5004.31
 202.0 -170.0    14.70 -5005.96
 209.5 -170.0    14.59 -5009.60
 212.0 -170.0    15.30 -5011.39
 219.5 -170.0    15.50 -5013.91
 222.0 -170.0    16.74 -5016.74
  14.5 -160.0     0.66 -4980.41
  17.0 -160.0     0.71 -4980.03
  24.5 -160.0     0.98 -4980.15
  27.0 -160.0     1.05 -4980.52
  34.5 -160.0     1.19 -4980.81
  37.0 -160.0     1.20 -4980.54
  44.5 -160.0     1.09 -4981.38
  47.0 -160.0     1.20 -4981.56
  59.5 -160.0     0.97 -4982.16
  64.5 -160.0     0.94 -4981.79
  79.5 -160.0     0.56 -4982.53
  84.5 -160.0     0.58 -4982.38
  99.5 -160.0     0.62 -4982.70
 104.5 -160.0     0.87 -4982.50
 119.5 -160.0     1.67 -4982.88
 124.5 -160.0     2.14 -4983.42
 139.5 -160.0     3.62 -4984.88
 144.5 -160.0     4.34 -4985.95
 159.5 -160.0     5.98 -4988.92
 164.5 -160.0     6.49 -4991.05
 179.5 -160.0     7.72 -4996.76
 184.5 -160.0     8.49 -4998.63
 199.5 -160.0     8.84 -5005.40
 202.0 -160.0     9.34 -5006.95
 209.5 -160.0     9.57 -5010.75
 212.0 -160.0    10.11 -5012.55
 219.5 -160.0    11.19 -5016.56
 222.0 -160.0    12.67 -5019.88
  14.5 -150.0     0.37 -4981.13
  17.0 -150.0     0.41 -4980.79
  24.5 -150.0     0.54 -4980.83
