STAR Bfield Maps by Foley, Love, & Trentalange (gauss,cm,degrees)
Full Field in the NORMAL direction: October 1998
57 steps in Z
28 steps in R
37 steps in Phi
   R      Z      Phi    Br      Bz        Bphi
  84.5 -250.0    0.0     6.09  5046.60    2.06
  99.5 -250.0    0.0    47.21  5027.45    2.32
 104.5 -250.0    0.0    55.75  5012.16    2.44
 119.5 -250.0    0.0    59.91  4962.45    1.98
 124.5 -250.0    0.0    53.67  4946.02    1.97
 139.5 -250.0    0.0    22.80  4911.60    1.46
 144.5 -250.0    0.0     9.21  4906.42    0.98
 159.5 -250.0    0.0   -26.77  4905.10    0.32
 164.5 -250.0    0.0   -38.17  4908.61    0.22
 179.5 -250.0    0.0   -64.11  4921.66   -0.34
 184.5 -250.0    0.0   -72.64  4925.96   -0.42
 199.5 -250.0    0.0   -94.43  4942.56   -0.43
 202.0 -250.0    0.0   -99.03  4946.55   -0.44
 209.5 -250.0    0.0  -109.93  4958.36   -0.52
 212.0 -250.0    0.0  -114.75  4964.08   -0.43
 219.5 -250.0    0.0  -124.62  4980.93   -0.69
 222.0 -250.0    0.0  -129.09  4990.30   -0.56
  14.5 -240.0    0.0   -24.60  4908.18   -0.00
  17.0 -240.0    0.0   -29.03  4910.59   -0.00
  24.5 -240.0    0.0   -38.23  4921.61    0.11
  27.0 -240.0    0.0   -41.40  4926.19    0.20
  34.5 -240.0    0.0   -47.09  4941.23    0.12
  37.0 -240.0    0.0   -48.47  4945.55    0.49
  44.5 -240.0    0.0   -49.79  4963.31    0.41
  47.0 -240.0    0.0   -49.05  4968.76    0.49
  59.5 -240.0    0.0   -36.55  4995.58    0.91
  64.5 -240.0    0.0   -30.13  5003.46    1.03
  79.5 -240.0    0.0    -3.63  5019.94    1.32
  84.5 -240.0    0.0     5.14  5019.52    1.44
  99.5 -240.0    0.0    29.36  5006.60    1.63
 104.5 -240.0    0.0    33.93  4996.47    1.69
 119.5 -240.0    0.0    35.49  4966.10    1.42
 124.5 -240.0    0.0    31.16  4955.62    1.45
 139.5 -240.0    0.0    11.16  4933.07    1.21
 144.5 -240.0    0.0     1.68  4929.05    0.73
 159.5 -240.0    0.0   -24.18  4926.77    0.35
 164.5 -240.0    0.0   -33.21  4928.78    0.29
 179.5 -240.0    0.0   -54.89  4939.40   -0.05
 184.5 -240.0    0.0   -62.13  4943.41   -0.17
 199.5 -240.0    0.0   -80.25  4960.38   -0.13
 202.0 -240.0    0.0   -83.68  4964.37   -0.08
 209.5 -240.0    0.0   -91.13  4975.68   -0.15
 212.0 -240.0    0.0   -94.43  4980.79   -0.04
 219.5 -240.0    0.0   -99.97  4995.12   -0.31
 222.0 -240.0    0.0  -102.80  5002.20   -0.21
  14.5 -230.0    0.0   -15.93  4934.57   -0.00
  17.0 -230.0    0.0   -18.89  4936.04   -0.00
  24.5 -230.0    0.0   -24.64  4943.58    0.08
  27.0 -230.0    0.0   -26.76  4946.60    0.19
  34.5 -230.0    0.0   -29.93  4956.68    0.01
  37.0 -230.0    0.0   -30.83  4959.17    0.46
  44.5 -230.0    0.0   -31.25  4970.76    0.21
  47.0 -230.0    0.0   -30.76  4974.12    0.36
  59.5 -230.0    0.0   -22.08  4990.55    0.60
  64.5 -230.0    0.0   -18.11  4995.00    0.76
  79.5 -230.0    0.0    -1.43  5004.19    0.94
  84.5 -230.0    0.0     3.64  5003.57    1.01
  99.5 -230.0    0.0    17.82  4994.60    1.13
 104.5 -230.0    0.0    20.22  4988.04    1.19
 119.5 -230.0    0.0    20.04  4969.05    0.96
 124.5 -230.0    0.0    16.99  4962.53    1.11
 139.5 -230.0    0.0     3.09  4947.82    0.96
 144.5 -230.0    0.0    -3.63  4945.06    0.63
 159.5 -230.0    0.0   -22.50  4943.67    0.33
 164.5 -230.0    0.0   -29.50  4945.20    0.36
 179.5 -230.0    0.0   -46.64  4954.41    0.05
 184.5 -230.0    0.0   -52.61  4958.12    0.04
 199.5 -230.0    0.0   -66.73  4974.19    0.11
 202.0 -230.0    0.0   -69.43  4977.80    0.15
 209.5 -230.0    0.0   -74.58  4988.11    0.13
 212.0 -230.0    0.0   -77.25  4992.60    0.24
 219.5 -230.0    0.0   -81.16  5004.76   -0.03
 222.0 -230.0    0.0   -84.09  5010.48    0.09
  14.5 -220.0    0.0   -10.20  4951.52   -0.00
  17.0 -220.0    0.0   -12.24  4952.28   -0.00
  24.5 -220.0    0.0   -15.78  4957.43    0.01
  27.0 -220.0    0.0   -17.13  4959.33    0.16
  34.5 -220.0    0.0   -18.92  4966.10   -0.04
  37.0 -220.0    0.0   -19.51  4967.34    0.37
  44.5 -220.0    0.0   -19.65  4975.03    0.08
  47.0 -220.0    0.0   -19.19  4977.03    0.31
  59.5 -220.0    0.0   -13.51  4987.01    0.44
  64.5 -220.0    0.0   -11.06  4989.40    0.61
  79.5 -220.0    0.0    -0.85  4994.61    0.57
  84.5 -220.0    0.0     2.16  4993.87    0.78
  99.5 -220.0    0.0    10.26  4987.86    0.77
 104.5 -220.0    0.0    11.43  4983.47    0.94
 119.5 -220.0    0.0    10.20  4971.73    0.70
 124.5 -220.0    0.0     7.98  4967.55    0.85
 139.5 -220.0    0.0    -2.11  4958.27    0.74
 144.5 -220.0    0.0    -6.97  4956.63    0.55
 159.5 -220.0    0.0   -20.90  4956.63    0.36
 164.5 -220.0    0.0   -26.15  4958.00    0.33
 179.5 -220.0    0.0   -39.31  4966.33    0.14
 184.5 -220.0    0.0   -43.93  4969.70    0.20
 199.5 -220.0    0.0   -54.54  4984.53    0.24
 202.0 -220.0    0.0   -56.46  4987.78    0.32
 209.5 -220.0    0.0   -60.01  4997.07    0.25
 212.0 -220.0    0.0   -61.97  5001.10    0.43
 219.5 -220.0    0.0   -64.88  5012.58    0.07
 222.0 -220.0    0.0   -67.47  5017.85    0.28
  14.5 -210.0    0.0    -6.64  4962.81   -0.00
  17.0 -210.0    0.0    -7.79  4962.70   -0.00
  24.5 -210.0    0.0   -10.16  4966.35    0.02
  27.0 -210.0    0.0   -10.87  4967.36    0.09
  34.5 -210.0    0.0   -12.08  4971.93    0.02
  37.0 -210.0    0.0   -12.35  4972.33    0.27
  44.5 -210.0    0.0   -12.46  4977.56    0.13
  47.0 -210.0    0.0   -12.01  4978.69    0.25
  59.5 -210.0    0.0    -8.57  4985.05    0.38
  64.5 -210.0    0.0    -6.91  4986.20    0.51
  79.5 -210.0    0.0    -0.87  4989.17    0.56
  84.5 -210.0    0.0     1.02  4988.61    0.62
  99.5 -210.0    0.0     5.19  4984.72    0.66
 104.5 -210.0    0.0     5.89  4981.66    0.77
 119.5 -210.0    0.0     4.10  4974.60    0.65
 124.5 -210.0    0.0     2.58  4971.80    0.71
 139.5 -210.0    0.0    -5.16  4966.56    0.63
 144.5 -210.0    0.0    -8.45  4965.29    0.53
 159.5 -210.0    0.0   -19.02  4966.72    0.39
 164.5 -210.0    0.0   -22.81  4967.95    0.40
 179.5 -210.0    0.0   -32.79  4975.91    0.29
 184.5 -210.0    0.0   -35.99  4978.70    0.34
 199.5 -210.0    0.0   -43.68  4992.44    0.38
 202.0 -210.0    0.0   -44.98  4994.80    0.43
 209.5 -210.0    0.0   -46.90  5003.73    0.38
 212.0 -210.0    0.0   -48.04  5007.11    0.47
 219.5 -210.0    0.0   -48.76  5018.50    0.35
 222.0 -210.0    0.0   -49.93  5023.57    0.46
  14.5 -200.0    0.0    -4.31  4969.92    0.00
  17.0 -200.0    0.0    -4.86  4969.55    0.00
  24.5 -200.0    0.0    -6.53  4971.81    0.04
  27.0 -200.0    0.0    -6.72  4972.56    0.02
  34.5 -200.0    0.0    -7.68  4975.37    0.09
  37.0 -200.0    0.0    -7.74  4975.59    0.16
  44.5 -200.0    0.0    -7.87  4979.03    0.17
  47.0 -200.0    0.0    -7.45  4979.68    0.20
  59.5 -200.0    0.0    -5.50  4983.69    0.32
