STAR Bfield Maps by Foley, Love, & Trentalange 
Half Field in the NORMAL direction: October 1998
57 steps in Z
28 steps in R
   R      Z      Br       Bz 
 219.5 -240.0   -49.50  2505.11
 222.0 -240.0   -50.72  2507.96
  14.5 -230.0    -8.01  2474.58
  17.0 -230.0    -9.09  2475.86
  24.5 -230.0   -12.20  2479.29
  27.0 -230.0   -12.93  2480.70
  34.5 -230.0   -14.72  2485.36
  37.0 -230.0   -14.89  2487.34
  44.5 -230.0   -14.91  2492.54
  47.0 -230.0   -14.63  2494.42
  59.5 -230.0   -10.32  2502.49
  64.5 -230.0    -7.98  2505.45
  79.5 -230.0     0.27  2509.11
  84.5 -230.0     3.30  2509.24
  99.5 -230.0    10.13  2503.84
 104.5 -230.0    11.62  2501.45
 119.5 -230.0    11.24  2491.25
 124.5 -230.0     9.95  2488.13
 139.5 -230.0     2.63  2480.74
 144.5 -230.0    -0.50  2479.57
 159.5 -230.0   -10.27  2478.51
 164.5 -230.0   -13.44  2479.29
 179.5 -230.0   -22.23  2483.34
 184.5 -230.0   -25.22  2485.95
 199.5 -230.0   -32.31  2493.74
 202.0 -230.0   -33.67  2495.84
 209.5 -230.0   -36.38  2501.00
 212.0 -230.0   -37.50  2503.34
 219.5 -230.0   -39.77  2510.09
 222.0 -230.0   -40.83  2512.59
  14.5 -220.0    -5.07  2483.04
  17.0 -220.0    -5.77  2483.95
  24.5 -220.0    -7.69  2486.11
  27.0 -220.0    -8.16  2487.01
  34.5 -220.0    -9.15  2489.93
  37.0 -220.0    -9.27  2491.21
  44.5 -220.0    -9.10  2494.44
  47.0 -220.0    -8.93  2495.64
  59.5 -220.0    -6.03  2500.52
  64.5 -220.0    -4.60  2502.34
  79.5 -220.0     0.55  2504.11
  84.5 -220.0     2.36  2504.16
  99.5 -220.0     6.30  2500.39
 104.5 -220.0     7.05  2498.99
 119.5 -220.0     6.35  2492.49
 124.5 -220.0     5.35  2490.56
 139.5 -220.0     0.13  2486.02
 144.5 -220.0    -2.16  2485.31
 159.5 -220.0    -9.31  2485.00
 164.5 -220.0   -11.76  2485.68
 179.5 -220.0   -18.39  2489.55
 184.5 -220.0   -20.77  2491.78
 199.5 -220.0   -25.98  2499.11
 202.0 -220.0   -27.10  2500.89
 209.5 -220.0   -28.76  2505.73
 212.0 -220.0   -29.66  2507.76
 219.5 -220.0   -31.13  2514.12
 222.0 -220.0   -32.15  2516.42
  14.5 -210.0    -3.21  2488.32
  17.0 -210.0    -3.60  2488.97
  24.5 -210.0    -4.85  2490.33
  27.0 -210.0    -5.08  2490.87
  34.5 -210.0    -5.71  2492.70
  37.0 -210.0    -5.72  2493.54
  44.5 -210.0    -5.56  2495.53
  47.0 -210.0    -5.42  2496.29
  59.5 -210.0    -3.56  2499.24
  64.5 -210.0    -2.64  2500.36
  79.5 -210.0     0.49  2501.19
  84.5 -210.0     1.61  2501.19
  99.5 -210.0     3.77  2498.64
 104.5 -210.0     4.15  2497.83
 119.5 -210.0     3.27  2493.78
 124.5 -210.0     2.52  2492.58
 139.5 -210.0    -1.34  2489.99
 144.5 -210.0    -3.02  2489.62
 159.5 -210.0    -8.29  2490.02
 164.5 -210.0   -10.10  2490.63
 179.5 -210.0   -15.02  2494.33
 184.5 -210.0   -16.80  2496.28
 199.5 -210.0   -20.42  2502.92
 202.0 -210.0   -21.19  2504.45
 209.5 -210.0   -22.07  2508.85
 212.0 -210.0   -22.52  2510.58
 219.5 -210.0   -22.92  2516.61
 222.0 -210.0   -23.39  2518.80
  14.5 -200.0    -2.03  2491.63
  17.0 -200.0    -2.18  2492.12
  24.5 -200.0    -3.05  2492.92
  27.0 -200.0    -3.08  2493.26
  34.5 -200.0    -3.55  2494.35
  37.0 -200.0    -3.44  2494.95
  44.5 -200.0    -3.38  2496.11
  47.0 -200.0    -3.21  2496.61
  59.5 -200.0    -2.11  2498.39
  64.5 -200.0    -1.46  2499.09
  79.5 -200.0     0.35  2499.45
  84.5 -200.0     1.08  2499.44
  99.5 -200.0     2.13  2497.75
 104.5 -200.0     2.33  2497.36
 119.5 -200.0     1.38  2494.92
 124.5 -200.0     0.87  2494.21
 139.5 -200.0    -2.08  2492.96
 144.5 -200.0    -3.26  2492.87
 159.5 -200.0    -7.15  2493.77
 164.5 -200.0    -8.39  2494.39
 179.5 -200.0   -11.98  2497.85
 184.5 -200.0   -13.19  2499.57
 199.5 -200.0   -15.58  2505.34
 202.0 -200.0   -16.01  2506.62
 209.5 -200.0   -16.21  2510.30
 212.0 -200.0   -16.22  2511.69
 219.5 -200.0   -15.56  2516.71
 222.0 -200.0   -15.33  2518.50
  14.5 -190.0    -1.24  2493.67
  17.0 -190.0    -1.33  2494.07
  24.5 -190.0    -1.86  2494.50
  27.0 -190.0    -1.88  2494.72
  34.5 -190.0    -2.15  2495.34
  37.0 -190.0    -2.07  2495.76
  44.5 -190.0    -1.99  2496.43
  47.0 -190.0    -1.89  2496.78
  59.5 -190.0    -1.21  2497.84
  64.5 -190.0    -0.81  2498.32
  79.5 -190.0     0.25  2498.43
  84.5 -190.0     0.68  2498.50
  99.5 -190.0     1.18  2497.38
 104.5 -190.0     1.22  2497.29
 119.5 -190.0     0.38  2495.90
 124.5 -190.0    -0.05  2495.57
 139.5 -190.0    -2.19  2495.17
 144.5 -190.0    -3.10  2495.34
 159.5 -190.0    -5.86  2496.52
 164.5 -190.0    -6.76  2497.22
 179.5 -190.0    -9.23  2500.36
 184.5 -190.0   -10.15  2501.94
 199.5 -190.0   -11.52  2506.71
 202.0 -190.0   -11.84  2507.83
 209.5 -190.0   -11.60  2510.59
 212.0 -190.0   -11.48  2511.65
 219.5 -190.0   -10.32  2515.03
 222.0 -190.0    -9.86  2516.21
  14.5 -180.0    -0.78  2494.93
  17.0 -180.0    -0.75  2495.22
  24.5 -180.0    -1.16  2495.44
  27.0 -180.0    -1.06  2495.58
  34.5 -180.0    -1.32  2495.88
  37.0 -180.0    -1.15  2496.24
  44.5 -180.0    -1.15  2496.59
  47.0 -180.0    -1.03  2496.89
  59.5 -180.0    -0.67  2497.50
  64.5 -180.0    -0.38  2497.83
  79.5 -180.0     0.18  2497.88
  84.5 -180.0     0.49  2497.94
  99.5 -180.0     0.62  2497.29
 104.5 -180.0     0.67  2497.39
 119.5 -180.0    -0.08  2496.72
 124.5 -180.0    -0.36  2496.63
 139.5 -180.0    -1.98  2496.85
