2	4	7	-169.67	-100.28	-90.8	0.00357	0	0.2044	0
2	5	1	-169.65	-101.14	-59.813	0.05026	0.4539	2.87991	26.0068
2	5	2	-169.55	-101.14	-59.65	0.06006	0.20734	3.4414	11.8799
2	5	3	-169.5	-101.05	-59.57	0.06421	0.25626	3.67868	14.6826
2	5	4	-169.6	-101.05	-59.704	0.06143	0.20635	3.51968	11.8229
2	5	5	-169.55	-100.97	-59.57	0.05706	0.49425	3.26921	28.3182
2	5	6	-169.65	-100.97	-59.68	0.03658	0.41118	2.09612	23.5587
2	5	7	-169.7	-101.05	-59.8	0.01237	0	0.70894	0
2	6	1	-169.87	-100.74	-32.107	-0.0294	0.24838	-1.6842	14.2313
2	6	2	-169.77	-100.74	-31.966	-0.0232	0.1083	-1.3272	6.20488
2	6	3	-169.72	-100.65	-31.812	-0.0102	0.29257	-0.5843	16.7628
2	6	4	-169.82	-100.65	-31.98	-0.008	0.35132	-0.458	20.1294
2	6	5	-169.77	-100.57	-31.83	0.00767	0.07272	0.43938	4.16643
2	6	6	-169.87	-100.57	-31.986	0.00541	0.29558	0.31023	16.9355
2	6	7	-169.92	-100.65	-32.127	0.01569	0	0.89914	0
3	1	1	2.781	-196.7	-179.23	0.01952	0.41936	1.11815	24.0274
3	1	2	2.831	-196.61	-179.07	0.018	0.12789	1.03127	7.3278
3	1	3	2.789	-196.52	-178.97	0.01346	0.28268	0.77104	16.1962
3	1	4	2.731	-196.61	-179.09	0.01433	0.24866	0.82111	14.2474
3	1	5	2.681	-196.52	-178.96	0.01139	0.49452	0.65271	28.3341
3	1	6	2.631	-196.61	-179.1	0.00445	0.34632	0.25501	19.8428
3	1	7	2.681	-196.7	-179.21	-0.0056	0	-0.3204	0
3	2	1	2.344	-196.71	-151.74	-0.0047	0.28254	-0.2688	16.1882
3	2	2	2.394	-196.62	-151.6	-0.0047	0.12843	-0.2687	7.35839
3	2	3	2.344	-196.54	-151.41	0.00346	0.2847	0.19817	16.3123
3	2	4	2.294	-196.62	-151.56	-8E-05	0.32834	-0.0046	18.8125
3	2	5	2.244	-196.54	-151.41	0.0005	0.0635	0.02835	3.63833
3	2	6	2.194	-196.62	-151.56	-0.0142	0.32422	-0.8161	18.5763
3	2	7	2.244	-196.71	-151.72	-0.019	0	-1.0881	0
3	3	1	3.005	-197.14	-120.39	0.08725	0.40513	4.99885	23.2121
