 (   j       E[eV]      E^2*sig          sig          SIG        
    90       22.91  6.31533E+02  1.20374E+00  5.71913E-01
    91       23.15  6.35034E+02  1.18447E+00  5.81971E-01
    92       23.41  6.37411E+02  1.16343E+00  5.91958E-01
    93       23.66  6.38301E+02  1.14009E+00  6.01852E-01
    94       23.92  6.40429E+02  1.11938E+00  6.11672E-01
    95       24.18  6.44627E+02  1.10257E+00  6.21449E-01
    96       24.44  6.47356E+02  1.08352E+00  6.31162E-01
    97       24.71  6.47817E+02  1.06105E+00  6.40778E-01
    98       24.98  6.48439E+02  1.03931E+00  6.50299E-01
    99       25.25  6.48291E+02  1.01681E+00  6.59715E-01
   100       25.53  6.45442E+02  9.90650E-01  6.68989E-01
   101       25.80  6.48641E+02  9.74227E-01  6.78208E-01
   102       26.08  6.65527E+02  9.78170E-01  6.87566E-01
   103       26.37  6.66877E+02  9.59151E-01  6.96841E-01
   104       26.66  6.25331E+02  8.80125E-01  7.05445E-01
   105       26.95  5.89644E+02  8.12115E-01  7.13471E-01
   106       27.24  6.02739E+02  8.12362E-01  7.21586E-01
   107       27.54  6.09199E+02  8.03475E-01  7.29700E-01
   108       27.84  6.15870E+02  7.94867E-01  7.37815E-01
   109       28.14  5.84498E+02  7.38213E-01  7.45433E-01
   110       28.44  5.93017E+02  7.32923E-01  7.53079E-01
   111       28.75  5.82795E+02  7.04855E-01  7.60513E-01
   112       29.07  5.43102E+02  6.42774E-01  7.67365E-01
   113       29.38  5.24030E+02  6.06912E-01  7.73905E-01
   114       29.70  5.20527E+02  5.89937E-01  7.80332E-01
   115       30.03  5.09588E+02  5.65164E-01  7.86556E-01
   116       30.35  4.94650E+02  5.36841E-01  7.92533E-01
   117       30.69  4.80083E+02  5.09867E-01  7.98271E-01
   118       31.02  4.66331E+02  4.84650E-01  8.03784E-01
   119       31.36  4.53164E+02  4.60874E-01  8.09085E-01
   120       31.70  4.39238E+02  4.37139E-01  8.14167E-01
   121       32.04  4.22856E+02  4.11818E-01  8.19006E-01
   122       32.39  4.04737E+02  3.85725E-01  8.23589E-01
   123       32.75  3.86969E+02  3.60889E-01  8.27923E-01
   124       33.10  3.70627E+02  3.38242E-01  8.32029E-01
   125       33.46  3.54832E+02  3.16888E-01  8.35918E-01
   126       33.83  3.38658E+02  2.95964E-01  8.39590E-01
   127       34.20  3.22001E+02  2.75376E-01  8.43043E-01
   128       34.57  3.05123E+02  2.55351E-01  8.46281E-01
   129       34.94  2.88412E+02  2.36194E-01  8.49308E-01
   130       35.32  2.72098E+02  2.18058E-01  8.52133E-01
   131       35.71  2.56597E+02  2.01229E-01  8.54768E-01
   132       36.10  2.41866E+02  1.85613E-01  8.57225E-01
   133       36.49  2.27890E+02  1.71140E-01  8.59516E-01
   134       36.89  2.14514E+02  1.57643E-01  8.61649E-01
   135       37.29  2.01791E+02  1.45115E-01  8.63633E-01
   136       37.70  1.89861E+02  1.33610E-01  8.65480E-01
   137       38.11  1.78731E+02  1.23083E-01  8.67201E-01
   138       38.52  1.67896E+02  1.13144E-01  8.68799E-01
   139       38.94  1.57795E+02  1.04058E-01  8.70285E-01
   140       39.37  1.48442E+02  9.57927E-02  8.71668E-01
   141       39.79  1.39325E+02  8.79828E-02  8.72952E-01
