       Tpc     E19A3     61.781 +/-    0.010   -107.951 +/-    0.010      0.711 +/-    0.010 
       Tpc     E19A4     78.359 +/-    0.010   -136.582 +/-    0.010      0.687 +/-    0.010 
       Tpc     E19A5     94.955 +/-    0.010   -165.250 +/-    0.010      0.666 +/-    0.010 
       Tpc     E19B1     36.555 +/-    0.010    -44.563 +/-    0.010      0.727 +/-    0.010 
       Tpc     E19B2     57.963 +/-    0.010    -70.064 +/-    0.010      0.723 +/-    0.010 
       Tpc     E19B3     79.347 +/-    0.010    -95.517 +/-    0.010      0.700 +/-    0.010 
       Tpc     E19B4    100.614 +/-    0.010   -120.808 +/-    0.010      0.690 +/-    0.010 
       Tpc     E19B5    122.111 +/-    0.010   -146.335 +/-    0.010      0.659 +/-    0.010 
       Tpc     E19C1     44.202 +/-    0.010    -37.789 +/-    0.010      0.720 +/-    0.010 
       Tpc     E19C2     69.426 +/-    0.010    -58.948 +/-    0.010      0.720 +/-    0.010 
       Tpc     E19C3     94.712 +/-    0.010    -80.144 +/-    0.010      0.701 +/-    0.010 
       Tpc     E19C4    119.842 +/-    0.010   -101.186 +/-    0.010      0.684 +/-    0.010 
       Tpc     E19C5    145.161 +/-    0.010   -122.384 +/-    0.010      0.660 +/-    0.010 
       Tpc     E20A2     78.233 +/-    0.010    -45.932 +/-    0.010      0.717 +/-    0.010 
       Tpc     E20A3    107.003 +/-    0.010    -62.488 +/-    0.010      0.696 +/-    0.010 
       Tpc     E20A4    135.750 +/-    0.010    -79.008 +/-    0.010      0.683 +/-    0.010 
       Tpc     E20A5    164.478 +/-    0.010    -95.504 +/-    0.010      0.676 +/-    0.010 
       Tpc     E20B3    116.570 +/-    0.010    -43.144 +/-    0.010      0.715 +/-    0.010 
       Tpc     E20B4    147.887 +/-    0.010    -54.482 +/-    0.010      0.693 +/-    0.010 
       Tpc     E20B5    179.217 +/-    0.010    -65.805 +/-    0.010      0.682 +/-    0.010 
       Tpc     E21B4    154.612 +/-    0.010     26.875 +/-    0.010      0.670 +/-    0.010 
       Tpc     E21B5    187.259 +/-    0.010     32.719 +/-    0.010      0.640 +/-    0.010 
       Tpc     E21C2     85.029 +/-    0.010     30.561 +/-    0.010      0.712 +/-    0.010 
       Tpc     E21C3    116.319 +/-    0.010     41.959 +/-    0.010      0.693 +/-    0.010 
       Tpc     E21C4    147.627 +/-    0.010     53.345 +/-    0.010      0.671 +/-    0.010 
       Tpc     E21C5    178.894 +/-    0.010     64.729 +/-    0.010      0.704 +/-    0.010 
       Tpc     E22A2     78.553 +/-    0.010     44.951 +/-    0.010      0.732 +/-    0.010 
