MagnetEF12003	xyz =    3.756 -107.567 -362.567 z = -362.5545 +/- 0.0647 (cm) beta =    0.0678 +/- 0.1221 (mrad) alpha =    0.1228 +/- 0.5036 (mrad) chi2/ndf     0.07/  5
MagnetWCL12003	xyz =  -22.753  -91.739  362.674 z =  362.5657 +/- 0.0023 (cm) beta =    0.0341 +/- 0.0062 (mrad) alpha =    0.7204 +/- 0.0105 (mrad) chi2/ndf 17845.62/ 16
MagnetB12003	xyz =    0.197 -272.355  -33.600 z =  376.3584 +/- 0.0122 (cm) beta =  -153.7233 +/- 0.0103 (mrad) alpha =  1657.9718 +/- 0.0391 (mrad) chi2/ndf 10866063771.51/  6
MagnetB12003	xyz =    0.197 -272.355  -33.600 z = -6629361.8330 +/- 156.1160 (cm) beta =  805.8549 +/- 0.0319 (mrad) alpha =  -25973077.0216 +/- 611.6584 (mrad) chi2/ndf 739036379.93/  3
MagnetB12003	xyz =    0.197 -272.355  -33.600 z = -6629361.8330 +/- 156.1160 (cm) beta =  805.8549 +/- 0.0319 (mrad) alpha =  -25973077.0216 +/- 611.6584 (mrad) chi2/ndf 739036379.93/  3
MagnetB12003	xyz =    0.197 -272.355  -33.600 z = -6629361.8330 +/- 156.1160 (cm) beta =  805.8549 +/- 0.0319 (mrad) alpha =  -25973077.0216 +/- 611.6584 (mrad) chi2/ndf 739036379.93/  3
MagnetB12004	xyz =    0.197 -272.355  -33.600 z = -6474216.2469 +/- 155.5905 (cm) beta =  806.4644 +/- 0.0319 (mrad) alpha =  -25365231.6780 +/- 609.6003 (mrad) chi2/ndf 773238118.13/  3
MagnetB12003	xyz =  -54.458 -280.921 -200.906 z = -298.3507 +/- 0.0149 (cm) beta =    0.7117 +/- 0.0143 (mrad) alpha =   10.1946 +/- 0.0443 (mrad) chi2/ndf 247776.16/  2
MagnetB12003	xyz =    0.277 -286.054 -300.814 z = -298.3507 +/- 0.0149 (cm) beta =    0.7117 +/- 0.0143 (mrad) alpha =   10.1946 +/- 0.0443 (mrad) chi2/ndf 247776.16/  2
MagnetB12003	xyz =    0.012 -255.229 -300.386 z = -90922.7879 +/- 324.6374 (cm) beta =   13.5975 +/- 0.0483 (mrad) alpha =  -355059.6468 +/- 1271.9413 (mrad) chi2/ndf 169848.46/  1
MagnetECL12003	xyz =   -0.073 -313.381 -362.416 z = -362.3354 +/- 1.2151 (cm) beta =  1495.5360 +/- 1618.9618 (mrad) alpha =   -0.0895 +/- 4.2198 (mrad) chi2/ndf     0.00/  0
MagnetEF12003	xyz =    3.756 -107.567 -362.567 z = -362.5545 +/- 0.0647 (cm) beta =    0.0678 +/- 0.1221 (mrad) alpha =    0.1228 +/- 0.5036 (mrad) chi2/ndf     0.07/  5
MagnetEF12004	xyz =    3.756 -107.568 -362.568 z = -362.5550 +/- 0.0647 (cm) beta =    0.0676 +/- 0.1221 (mrad) alpha =    0.1188 +/- 0.5036 (mrad) chi2/ndf     0.07/  5
MagnetWF12003	xyz =  -48.246  -76.166  362.511 z =  362.4966 +/- 0.0026 (cm) beta =    0.0547 +/- 0.0063 (mrad) alpha =   -0.1809 +/- 0.0187 (mrad) chi2/ndf    45.26/  6
MagnetWF12004	xyz =  -48.246  -76.166  362.511 z =  362.4972 +/- 0.0026 (cm) beta =    0.0533 +/- 0.0062 (mrad) alpha =   -0.1738 +/- 0.0186 (mrad) chi2/ndf    44.12/  6
MagnetMCT32003	xyz =   -2.204   98.804   -1.132 z =  -43.3156 +/- 0.0043 (cm) beta =  215.0288 +/- 0.0148 (mrad) alpha =  -786.7004 +/- 0.0254 (mrad) chi2/ndf 6157640864.86/ 12
MagnetMCT32004	xyz =   -2.204   98.804   -1.132 z =  -45.0144 +/- 0.0044 (cm) beta =  181.2790 +/- 0.0148 (mrad) alpha =  -763.7938 +/- 0.0262 (mrad) chi2/ndf 6059843787.45/ 12
TpcEAO132003	xyz =    2.768   -1.833   -0.204 z = -229.5064 +/- 0.0005 (cm) beta =   83.6836 +/- 0.0101 (mrad) alpha =  -21.9491 +/- 0.0083 (mrad) chi2/ndf 5336942643.49/ 46
TpcEAO132003	xyz =   -1.963    2.950 -231.682 z = -231.6809 +/- 0.0005 (cm) beta =    0.4358 +/- 0.0102 (mrad) alpha =   -0.0729 +/- 0.0083 (mrad) chi2/ndf  1225.74/ 30
TpcWAO22003	xyz =    7.500   -6.615  231.275 z =  231.2726 +/- 0.0034 (cm) beta =    0.3448 +/- 0.0542 (mrad) alpha =    0.0945 +/- 0.0516 (mrad) chi2/ndf    30.07/ 30
TpcE13A12004	xyz =   11.269    9.798  -40.835 z =   -0.2079 +/- 0.0003 (cm) beta =    0.5091 +/- 0.0035 (mrad) alpha =   -0.0318 +/- 0.0027 (mrad) chi2/ndf  1474.36/143
TpcE13A12004	xyz =   11.269    9.798  -40.835 z =   -0.2081 +/- 0.0003 (cm) beta =    0.5188 +/- 0.0037 (mrad) alpha =   -0.0314 +/- 0.0027 (mrad) gamma 204.8695  chi2/ndf  1132.66/138
TpcE13A12004	xyz =   14.075   11.245   -0.202 z =   -0.2081 +/- 0.0003 (cm) beta =    0.5254 +/- 0.0037 (mrad) alpha =   -0.0308 +/- 0.0028 (mrad) gamma 337.2437  chi2/ndf   985.14/133
TpcE13A12004	xyz =   14.075   11.245   -0.202 z =   -0.2080 +/- 0.0003 (cm) beta =    0.5262 +/- 0.0040 (mrad) alpha =   -0.0267 +/- 0.0030 (mrad) gamma 337.2437  chi2/ndf   649.41/122
TpcW11B32004	xyz =   -1.269  -45.647   -0.137 z =   -0.1359 +/- 0.0003 (cm) beta =    0.4497 +/- 0.0034 (mrad) alpha =    0.0114 +/- 0.0026 (mrad) gamma -979.0360  chi2/ndf  2864.00/109
TpcWAO22004	xyz =    7.508   -6.603  231.271 z =  231.2689 +/- 0.0034 (cm) beta =    0.4478 +/- 0.0538 (mrad) alpha =    0.1850 +/- 0.0513 (mrad) gamma -481.0386  chi2/ndf    29.98/ 30
TpcE13A12004	xyz =   11.269    9.798  -40.835 z =  -36.5664 +/- 0.0003 (cm) beta =   60.9450 +/- 0.0034 (mrad) alpha =   40.8297 +/- 0.0026 (mrad) gamma 204.8695  chi2/ndf 109038255223.27/168
TpcEAO132004	xyz =   -1.911    3.002 -231.685 z = -231.6859 +/- 0.0005 (cm) beta =    0.5413 +/- 0.0095 (mrad) alpha =    0.0151 +/- 0.0076 (mrad) gamma -416.8880  chi2/ndf   961.37/ 30
TpcEAO132003	xyz =   -1.963    2.950 -231.682 z = -231.6809 +/- 0.0005 (cm) beta =    0.4358 +/- 0.0102 (mrad) alpha =   -0.0729 +/- 0.0083 (mrad) gamma -418.1031  chi2/ndf  1225.74/ 30
TpcWAO22003	xyz =    7.500   -6.615  231.275 z =  231.2726 +/- 0.0034 (cm) beta =    0.3448 +/- 0.0542 (mrad) alpha =    0.0945 +/- 0.0516 (mrad) gamma -479.7191  chi2/ndf    30.07/ 30
TpcWAO22003	xyz =    7.500   -6.615  231.275 z =  231.2726 +/- 0.0034 (cm) beta =    0.3448 +/- 0.0542 (mrad) alpha =    0.0945 +/- 0.0516 (mrad) gamma -479.7191  chi2/ndf    30.07/ 30
TpcWAO22004	xyz =    7.508   -6.603  231.271 z =  231.2689 +/- 0.0034 (cm) beta =    0.4478 +/- 0.0538 (mrad) alpha =    0.1850 +/- 0.0513 (mrad) gamma -481.0386  chi2/ndf    29.98/ 30
TpcWAO22004	xyz =    7.508   -6.603  231.271 z =  231.2689 +/- 0.0034 (cm) beta =    0.4478 +/- 0.0538 (mrad) alpha =    0.1850 +/- 0.0513 (mrad) gamma -481.0386  chi2/ndf    29.98/ 30
TpcWAO22004	xyz =    7.508   -6.603  231.271 z =  231.2689 +/- 0.0034 (cm) beta =    0.4478 +/- 0.0538 (mrad) alpha =    0.1850 +/- 0.0513 (mrad) gamma -481.0386  chi2/ndf    29.98/ 30
TpcWBO12004	xyz =   -0.329   -0.174  231.267 z =  231.2667 +/- 0.0054 (cm) beta =    0.4346 +/- 0.0851 (mrad) alpha =    0.2062 +/- 0.0854 (mrad) gamma -447.1847  chi2/ndf     0.53/ 10
TpcWBO12004	xyz =   -0.338   88.459  231.285 z =  231.2715 +/- 0.0413 (cm) beta =    0.4202 +/- 0.1475 (mrad) alpha =    0.1557 +/- 0.4500 (mrad) gamma 1573.0040  chi2/ndf     0.12/  2
TpcWBO12004	xyz =   -0.329   -0.174  231.267 z =  231.2667 +/- 0.0054 (cm) beta =    0.4346 +/- 0.0851 (mrad) alpha =    0.2062 +/- 0.0854 (mrad) gamma -447.1847  chi2/ndf     0.53/ 10
