MICAP neutron cross-section file. TOL=2.0% ANG=2.0%   C.Zeitnitz                
Mon Mar  4 20:10:52 1996
       101
     1 35079   100     1 35079   100     1 35079   100     1 35079   100
 179.6382     1.937490     182.1271     2.036680     183.6540     2.272040      
 184.6831     2.649710     185.3692     3.131280     185.9479     3.833490      
 186.4303     4.819440     186.8161     6.103820     187.1724     8.026500      
 187.4842     10.81900     187.6921     13.76500     187.8901     18.08240      
 188.0654     24.18450     188.1822     30.38190     188.3262     42.12320      
 188.4410     56.72700     188.5328     73.44420     188.6535     104.8490      
 188.7657     146.2110     188.9326     232.0120     189.2999     461.0030      
 189.4587     511.9320     189.5271     514.9250     189.6896     475.1150      
 190.1499     203.6350     190.2900     140.7280     190.4301     96.95090      
 190.5595     70.24280     190.7040     51.23170     190.8484     39.35050      
 190.9928     31.67110     191.1999     24.77500     191.3973     20.84380      
 191.5947     18.77670     191.6935     18.47190     191.8662     19.44980      
 192.0277     22.59070     192.1940     28.26800     192.5397     42.11480      
 192.7000     44.25290     192.8435     42.02150     192.9985     35.97130      
 193.3007     21.29960     193.4381     16.20220     193.5755     12.60790      
 193.7129     10.25830     193.9241     8.200990     194.1764     6.949730      
 194.6810     5.710410     195.5461     4.655430     196.8624     3.823680      
 198.7117     3.201010     201.3006     2.724390     206.0533     2.270750      
 207.8359     2.179930     208.9421     2.229220     209.2728     2.405210      
 209.5207     2.821060     209.7139     3.497650     209.8243     4.056700      
 210.1355     5.954840     210.3451     6.747360     210.4000     6.796480      
 210.5909     6.401480     211.0803     3.637700     211.1949     3.163770      
 211.4234     2.577820     211.7087     2.269380     212.3935     2.067550      
 214.5663     1.929180     217.0463     1.890560     220.5544     1.985400      
 223.0602     2.245150     225.0648     2.688920     226.7004     3.344910      
 228.0634     4.254480     229.1537     5.388780     230.2601     7.160720      
 231.2607     9.688290     231.7610     11.47300     232.5724     15.54490      
 233.2892     21.08470     233.8865     28.08040     234.4335     37.71940      
 234.9466     51.59470     235.2032     61.35480     235.6255     84.14880      
 236.0023     116.2960     236.2535     148.5370     236.5026     195.1070      
 236.7495     265.6670     236.9553     356.4630     237.1509     488.3740      
 237.3209     659.1480     237.4909     903.8260     237.6769     1276.190      
 238.2849     2861.890     238.5000     3082.920     238.7245     2898.040      
 239.0457     2118.770     239.3679     1289.860     239.5595     930.1310      
 239.7511     677.3710     239.9437     506.0800     240.1372     390.4040      
 240.3790     294.9710     240.6209     231.9910     240.9202     179.7980      
 241.2944     137.3040     241.7433     104.6700     242.0363     89.74530      
 242.6905     66.86690     243.3447     52.43170     244.1304     41.10050      
 245.2657     30.90620     246.5902     23.75220     248.4026     17.95950      
 250.2150     14.46050     252.6505     11.58440     253.6859     10.97050      
 254.1105     11.45410     254.3971     13.00840     254.6837     16.21380      
 255.0490     20.59970     255.1698     21.14610     255.4204     19.98960      
 256.0000     12.49980     256.2491     10.67020     256.6642     9.422020      
 257.8967     8.404340     261.8750     6.926900     268.6762     5.513990      
 278.0970     4.366520     286.1740     3.792000     288.3631     3.933610      
 289.5459     4.362470     290.3520     5.132410     290.8127     6.013890      
 291.2157     7.375210     291.5550     9.420530     291.7770     11.68490      
 291.9713     14.88470     292.1378     19.33880     292.2766     25.18560      
 292.3928     32.46980     292.5090     42.94570     292.6252     57.78490      
 292.7414     78.21460     292.8939     115.0870     293.1014     183.2710      
 293.4816     317.0520     293.6585     347.1180     293.7136     349.0810      
 293.9179     324.7890     294.1677     246.2240     294.4475     147.4250      
 294.6118     102.4690     294.7506     74.60540     294.8790     56.14120      
 295.0074     43.19710     295.1572     33.07050     295.3284     25.71790      
 295.5447     20.06880     295.7626     16.54160     296.1112     13.07820      
 296.5469     10.54860     297.1077     8.643640     298.0056     6.980180      
 299.2029     5.858110     300.9769     5.080470     303.3422     4.719010      
 305.8151     4.883960     307.6966     5.499280     309.3954     6.744370      
 310.7285     8.637530     311.6172     10.75100     312.5060     14.10440      
 313.1810     18.07830     313.8560     24.21570     314.4674     33.07670      
 314.9518     44.08680     315.3553     58.00750     315.7004     75.76320      
 316.0092     99.42100     316.3181     135.9060     316.5864     186.3190      
 316.7104     219.2600     316.9171     295.3680     317.1123     403.1160      
 317.2912     546.2060     317.4999     783.1130     317.7440     1162.600      
 318.1732     1919.780     318.4550     2186.920     318.5591     2193.140      
 318.7953     2017.220     319.4470     951.9730     319.6822     661.5140      
 319.8839     487.6390     320.0702     375.7190     320.2738     291.1510      
