   60         .0060 9.373799E+00 9.329145E+00 9.327075E+00 9.327245E+00 9.327308E+00
   61         .0061 9.383154E+00 9.338251E+00 9.336178E+00 9.336351E+00 9.336415E+00
   62         .0062 9.392451E+00 9.347302E+00 9.345226E+00 9.345403E+00 9.345467E+00
   63         .0063 9.401691E+00 9.356299E+00 9.354220E+00 9.354401E+00 9.354466E+00
   64         .0064 9.410877E+00 9.365243E+00 9.363162E+00 9.363347E+00 9.363413E+00
   65         .0065 9.420010E+00 9.374137E+00 9.372054E+00 9.372242E+00 9.372309E+00
   66         .0066 9.429092E+00 9.382981E+00 9.380897E+00 9.381088E+00 9.381156E+00
   67         .0067 9.438125E+00 9.391777E+00 9.389691E+00 9.389887E+00 9.389955E+00
   68         .0068 9.447112E+00 9.400527E+00 9.398439E+00 9.398638E+00 9.398708E+00
   69         .0069 9.456052E+00 9.409231E+00 9.407142E+00 9.407345E+00 9.407416E+00
   70         .0070 9.464949E+00 9.417891E+00 9.415801E+00 9.416008E+00 9.416079E+00
   71         .0071 9.473804E+00 9.426509E+00 9.424418E+00 9.424629E+00 9.424701E+00
   72         .0072 9.482619E+00 9.435086E+00 9.432994E+00 9.433209E+00 9.433282E+00
   73         .0073 9.491394E+00 9.443624E+00 9.441531E+00 9.441749E+00 9.441823E+00
   74         .0074 9.500133E+00 9.452123E+00 9.450029E+00 9.450251E+00 9.450326E+00
   75         .0075 9.508836E+00 9.460584E+00 9.458490E+00 9.458716E+00 9.458791E+00
   76         .0076 9.517505E+00 9.469010E+00 9.466915E+00 9.467145E+00 9.467221E+00
   77         .0077 9.526143E+00 9.477402E+00 9.475306E+00 9.475539E+00 9.475617E+00
   78         .0078 9.534750E+00 9.485760E+00 9.483663E+00 9.483901E+00 9.483979E+00
   79         .0079 9.543327E+00 9.494087E+00 9.491989E+00 9.492231E+00 9.492310E+00
   80         .0080 9.551877E+00 9.502383E+00 9.500284E+00 9.500530E+00 9.500610E+00
   81         .0081 9.560400E+00 9.510649E+00 9.508550E+00 9.508799E+00 9.508880E+00
   82         .0082 9.568896E+00 9.518888E+00 9.516788E+00 9.517041E+00 9.517123E+00
   83         .0083 9.577367E+00 9.527100E+00 9.524999E+00 9.525256E+00 9.525339E+00
   84         .0084 9.585815E+00 9.535287E+00 9.533185E+00 9.533446E+00 9.533530E+00
   85         .0085 9.594239E+00 9.543449E+00 9.541346E+00 9.541611E+00 9.541696E+00
   86         .0086 9.602642E+00 9.551588E+00 9.549483E+00 9.549753E+00 9.549838E+00
   87         .0087 9.611024E+00 9.559703E+00 9.557598E+00 9.557872E+00 9.557958E+00
   88         .0088 9.619386E+00 9.567797E+00 9.565690E+00 9.565968E+00 9.566056E+00
   89         .0089 9.627729E+00 9.575869E+00 9.573762E+00 9.574044E+00 9.574132E+00
   90         .0090 9.636055E+00 9.583921E+00 9.581813E+00 9.582099E+00 9.582188E+00
   91         .0091 9.644363E+00 9.591954E+00 9.589844E+00 9.590134E+00 9.590225E+00
   92         .0092 9.652656E+00 9.599968E+00 9.597857E+00 9.598151E+00 9.598242E+00
   93         .0093 9.660933E+00 9.607964E+00 9.605851E+00 9.606150E+00 9.606242E+00
   94         .0094 9.669195E+00 9.615943E+00 9.613829E+00 9.614132E+00 9.614225E+00
   95         .0095 9.677444E+00 9.623906E+00 9.621790E+00 9.622098E+00 9.622192E+00
   96         .0096 9.685679E+00 9.631853E+00 9.629736E+00 9.630048E+00 9.630143E+00
   97         .0097 9.693901E+00 9.639786E+00 9.637667E+00 9.637983E+00 9.638079E+00
   98         .0098 9.702112E+00 9.647705E+00 9.645584E+00 9.645905E+00 9.646002E+00
   99         .0099 9.710311E+00 9.655610E+00 9.653488E+00 9.653813E+00 9.653911E+00
  100         .0100 9.718500E+00 9.663502E+00 9.661378E+00 9.661708E+00 9.661807E+00
  101         .0101 9.726679E+00 9.671382E+00 9.669257E+00 9.669590E+00 9.669690E+00
  102         .0102 9.734849E+00 9.679251E+00 9.677123E+00 9.677461E+00 9.677562E+00
  103         .0103 9.743010E+00 9.687108E+00 9.684978E+00 9.685321E+00 9.685423E+00
  104         .0104 9.751164E+00 9.694954E+00 9.692823E+00 9.693170E+00 9.693273E+00
  105         .0105 9.759310E+00 9.702791E+00 9.700657E+00 9.701009E+00 9.701113E+00
  106         .0106 9.767450E+00 9.710618E+00 9.708482E+00 9.708838E+00 9.708943E+00
  107         .0107 9.775583E+00 9.718436E+00 9.716298E+00 9.716659E+00 9.716765E+00
  108         .0108 9.783709E+00 9.726246E+00 9.724106E+00 9.724471E+00 9.724578E+00
  109         .0109 9.791831E+00 9.734048E+00 9.731905E+00 9.732275E+00 9.732383E+00
  110         .0110 9.799947E+00 9.741843E+00 9.739698E+00 9.740072E+00 9.740181E+00
  111         .0111 9.808059E+00 9.749631E+00 9.747483E+00 9.747862E+00 9.747972E+00
  112         .0112 9.816166E+00 9.757413E+00 9.755262E+00 9.755645E+00 9.755757E+00
  113         .0113 9.824270E+00 9.765188E+00 9.763035E+00 9.763423E+00 9.763535E+00
  114         .0114 9.832371E+00 9.772958E+00 9.770802E+00 9.771195E+00 9.771308E+00
  115         .0115 9.840469E+00 9.780723E+00 9.778564E+00 9.778961E+00 9.779076E+00
