Run	Sanity	CTB	Sigfrac	FTPCin	FTPCHV		FTPCBum	Shiftlog
**4034012	Good	Good	Good 	Good 	CheckedByBum 	Good Good 	
**4034013	Good	Good	Good 	Good 	CheckedByBum 	Good Good 	
**4034015	Good	Good	Good 	Good 	CheckedByBum 	Good Good 	
**4034028	Good	Good	Good 	Good 	Good	 	Good Good 	
**4035002	Good	Good	Good 	Good 	Good	 	Good Good 	
**4035006	Good	Good	Good 	Good 	Good	 	Good Good 	
**4035009	Good	Good	Good 	Good 	CheckedByBum 	Good Good 	
**4035011	Good	Good	Good 	Good 	Good	 	Good Good 	
**4035012	Good	Good	Good 	Good 	CheckedByBum 	Good Good 	
**4035013	Good	Good	Good 	Good 	CheckedByBum 	Good Good 	
**4035016	Good	Good	Good 	Good 	Good	 	Good Good 	
**4035018	Good	Good	Good 	Good 	Good	 	Good Good 	
**4035020	Good	Good	Good 	Good 	CheckedByBum 	Good Good 	
**4035030	Good	Good	Good 	Good 	Good	 	Good Good 	
**4035051	Good	Good	Good 	Good 	Good	 	Good Good 	
**4036001	Good	Good	Good 	Good 	Good	 	Good Good 	
4036002	Good	Good	Good 	Good 	CheckedByBum 	Good Good 	
4036003	Good	Good	Good 	Good 	Good	 	Good Good 	
4036006	Good	Good	Good 	Good 	Good	 	Good Good 	
4036043	Good	Good	Good 	Good 	Good	 	Good Good 	
4037002	Good	Good	Good 	Good 	CheckedByBum 	Good Good 	
4037005	Good	Good	Good 	Good 	Good	 	Good Good 	
4037009	Good	Good	Good 	Good 	Good	 	Good Good 	
4037010	Good	Good	Good 	Good 	Good	 	Good Good 	
4037029	Good	Good	Good 	Good 	CheckedByBum 	Good Good 	
4039010	Good	Good	Good 	Good 	Good	 	Good Good 	
4039021	Good	Good	Good 	Good 	CheckedByBum 	Good Good 	
4039022	Good	Good	Good 	Good 	CheckedByBum 	Good Good 	
4040012	Good	Good	Good 	Good 	Good	 	Good Good 	
4040015	Good	Good	Good 	Good 	Good	 	Absent Good 	
4040021	Good	Good	Good 	Good 	Good	 	Absent Good 	
4040025	Good	Good	Good 	Good 	AbsentDB	Absent Good 	
4040029	Good	Good	Good 	Good 	Good	 	Absent Good 	
4041001	Good	Good	Good 	Good 	CheckedByBum 	Good Good 	
4041002	Good	Good	Good 	Good 	Good	 	Good Good 	
4041008	Good	Good	Good 	Good 	Good	 	Good Good 	
4041023	Good	Good	Good 	Good 	CheckedByBum 	Good Good 	
4041024	Good	Good	Good 	Good 	CheckedByBum 	Good Good 	
4041025	Good	Good	Good 	Good 	CheckedByBum 	Good Good 	
4041026	Good	Good	Good 	Good 	CheckedByBum 	Good Good 	
4041027	Good	Good	Good 	Good 	CheckedByBum 	Good Good 	
4041028	Good	Good	Good 	Good 	CheckedByBum 	Good Good 	
4041029	Good	Good	Good 	Good 	CheckedByBum 	Good Good 	
4041030	Good	Good	Good 	Good 	CheckedByBum 	Good Good 	
4041031	Good	Good	Good 	Good 	CheckedByBum 	Good Good 	
4041036	Good	Good	Good 	Good 	Good	 	Good Good 	
4041037	Good	Good	Good 	Good 	CheckedByBum 	Good Good 	
4041038	Good	Good	Good 	Good 	Good	 	Good Good 	
4041039	Good	Good	Good 	Good 	CheckedByBum 	Good Good 	
4041041	Good	Good	Good 	Good 	CheckedByBum 	Good Good 	
4041042	Good	Good	Good 	Good 	CheckedByBum 	Good Good 	
4041043	Good	Good	Good 	Good 	Good	 	Good Good 	
4042010	Good	Good	Good 	Good 	Good	 	Good Good 	
4042014	Good	Good	Good 	Good 	CheckedByBum 	Good Good 	
4042016	Good	Good	Good 	Good 	Good	 	Good Good 	
4042017	Good	Good	Good 	Good 	Good	 	Good Good 	
4043001	Good	Good	Good 	Good 	Good	 	Good Good 	
4043005	Good	Good	Good 	Good 	CheckedByBum 	Good Good 	
4043006	Good	Good	Good 	Good 	Good	 	Good Good 	
4044004	Good	Good	Good 	Good 	Good	 	Good Good 	
4044005	Good	Good	Good 	Good 	Good	 	Good Good 	
**4044026	Good	Good	Good 	Good 	CheckedByBum 	Good Good 	
**4044027	Good	Good	Good 	Good 	Good	 	Good Good 	
**4044028	Good	Good	Good 	Good 	Good	 	Good Good 	
**4044029	Good	Good	Good 	Good 	Good	 	Good Good 	
**4044032	Good	Good	Good 	Good 	Good	 	Good Good 	
**4044033	Good	Good	Good 	Good 	Good	 	Good Good 	
**4044034	Good	Good	Good 	Good 	Good	 	Good Good 	
**4044035	Good	Good	Good 	Good 	Good	 	Good Good 	
**4044036	Good	Good	Good 	Good 	Good	 	Good Good 	
**4045007	Good	Good	Good 	Good 	Good	 	Good Good 	
**4045008	Good	Good	Good 	Good 	CheckedByBum 	Good Good 	
**4045009	Good	Good	Good 	Good 	Good	 	Good Good 	
**4045010	Good	Good	Good 	Good 	Good	 	Good Good 	
**4045011	Good	Good	Good 	Good 	Good	 	Good Good 	
**4045012	Good	Good	Good 	Good 	Good	 	Good Good 	
**4045014	Good	Good	Good 	Good 	CheckedByBum 	Good Good 	
**4045015	Good	Good	Good 	Good 	CheckedByBum 	Good Good 	
**4045017	Good	Good	Good 	Good 	Good	 	Good Good 	
4045018	Good	Good	Good 	Good 	CheckedByBum 	Good Good 	
4045031	Good	Good	Good 	Good 	Good	 	Good Good 	
4045032	Good	Good	Good 	Good 	Good	 	Good Good 	
4045033	Good	Good	Good 	Good 	Good	 	Good Good 	
4045035	Good	Good	Good 	Good 	Good	 	Good Good 	
4045036	Good	Good	Good 	Good 	Good	 	Good Good 	
4045039	Good	Good	Good 	Good 	CheckedByBum 	Good Good 	
4045040	Good	Good	Good 	Good 	CheckedByBum 	Good Good 	
4046002	Good	Good	Good 	Good 	Good	 	Good Good 	
4046003	Good	Good	Good 	Good 	Good	 	Good Good 	
4046005	Good	Good	Good 	Good 	Good	 	Good Good 	
4046006	Good	Good	Good 	Good 	Good	 	Good Good 	
4046016	Good	Good	Good 	Good 	Good	 	Good Good 	
4046018	Good	Good	Good 	Good 	CheckedByBum 	Good Good 	
4046020	Good	Good	Good 	Good 	Good	 	Good Good 	
4046021	Good	Good	Good 	Good 	Good	 	Good Good 	
4047009	Good	Good	Good 	Good 	CheckedByBum 	Good Good 	
4047010	Good	Good	Good 	Good 	Good	 	Good Good 	
4047011	Good	Good	Good 	Good 	Good	 	Good Good 	
4047013	Good	Good	Good 	Good 	Good	 	Good Good 	
4047014	Good	Good	Good 	Good 	Good	 	Good Good 	
4047015	Good	Good	Good 	Good 	Good	 	Good Good 	
4047017	Good	Good	Good 	Good 	Good	 	Good Good 	
4047018	Good	Good	Good 	Good 	Good	 	Good Good 	
4047019	Good	Good	Good 	Good 	Good	 	Good Good 	
4047027	Good	Good	Good 	Good 	Good	 	Good Good 	
4047029	Good	Good	Good 	Good 	Good	 	Good Good 	
4047031	Good	Good	Good 	Good 	Good	 	Good Good 	
4047032	Good	Good	Good 	Good 	Good	 	Good Good 	
