Run	Sanity	CTB	Sigfrac	FTPCin	FTPCHV		FTPCBum	Shiftlog
4079029	Good	Good	Good 	Good 	Good	 	Absent Good 	
4079030	Good	Good	Good 	Good 	Good	 	Absent Good 	
4079033	Good	Good	Good 	Good 	Good	 	Absent Good 	
4079035	Good	Good	Good 	Good 	Good	 	Absent Good 	
4079037	Good	Good	Good 	Good 	Good	 	Absent Good 	
4079038	Good	Good	Good 	Good 	Good	 	Absent Good 	
4079057	Good	Good	Good 	Good 	Good	 	Absent Good 	
4079058	Good	Good	Good 	Good 	Good	 	Absent Good 	
4079061	Good	Good	Good 	Good 	Good	 	Absent Good 	
4079063	Good	Good	Good 	Good 	Good	 	Absent Good 	
4079067	Good	Good	Good 	Good 	Good	 	Absent Good 	
4080001	Good	Good	Good 	Good 	Good	 	Absent Good 	
4080003	Good	Good	Good 	Good 	Good	 	Absent Good 	
4080019	Good	Good	Good 	Good 	Good	 	Absent Good 	
4080020	Good	Good	Good 	Good 	Good	 	Absent Good 	
4080023	Good	Good	Good 	Good 	Good	 	Absent Good 	
4080025	Good	Good	Good 	Good 	Good	 	Absent Good 	
4080026	Good	Good	Good 	Good 	Good	 	Absent Good 	
4080027	Good	Good	Good 	Good 	Good	 	Absent Good 	
4080029	Good	Good	Good 	Good 	Good	 	Absent Good 	
4080033	Good	Good	Good 	Good 	Good	 	Absent Good 	
4080034	Good	Good	Good 	Good 	Good	 	Absent Good 	
