// table produced by Bill Love 232/112/19994 
//  R3452_1_bight2.root  sector 14 , invp cut at 0.2 
// zrange -185.0 to -175.0  n= 14093 mean   -179.548 rms   59.656 
//{sec, mir, zbd,  n,     psi,    +-,      tanl,   +-,    xl,      +- ,     yl,      +- ,     zl ,     +-   }, 
//{sec, mir, zbd,  n,     psi,    +-,      tanl,   +-,    xl,      +- ,     yl,      +- ,     zl ,     +-   }, 
{  14,   1,   1,   1971,  113.509,  0.182,   0.0044,  0.0002, -172.256,  0.105,   96.658,  0.047,  -33.380,  0.174 },
{  14,   2,   1,   1295,  125.799,  0.130,   0.0119,  0.0008, -172.243,  0.104,   96.620,  0.077,  -33.275,  0.176 },
{  14,   3,   1,   1983,  134.726,  0.170,   0.0145,  0.0010, -172.248,  0.101,   96.576,  0.103,  -33.106,  0.180 },
{  14,   4,   1,   2001,  151.563,  0.080,   0.0244,  0.0002, -172.076,  0.065,   96.764,  0.100,  -33.171,  0.175 },
{  14,   5,   1,   1981,  170.121,  0.155,   0.0305,  0.0004, -172.084,  0.040,   96.790,  0.212,  -33.007,  0.175 },
{  14,   6,   1,    184,  175.358,  0.360,   0.0326,  0.0020, -172.114,  0.011,   96.410,  0.199,  -33.018,  0.234 },
{  14,   7,   1,   1421,  192.602,  0.416,   0.0291,  0.0015, -172.154,  0.038,   96.996,  0.178,  -33.603,  0.178 },
//     mean xls  -172.1727 mean yls    96.7222 mean zls   -33.2338 

//  R3452_1_bight2.root  sector 16 , invp cut at 0.2 
// zrange -185.0 to -175.0  n= 14315 mean   -179.606 rms   59.656 
//{sec, mir, zbd,  n,     psi,    +-,      tanl,   +-,    xl,      +- ,     yl,      +- ,     zl ,     +-   }, 
{  16,   1,   6,   1945,  164.982,  0.211,  -0.0147,  0.0008, -168.939,  0.076, -100.753,  0.184, -179.729,  0.172 },
{  16,   2,   6,   1918,  188.761,  0.192,  -0.0055,  0.0012, -168.903,  0.021, -100.764,  0.128, -179.440,  0.187 },
{  16,   3,   6,   1727,  196.784,  0.168,  -0.0020,  0.0014, -168.889,  0.050, -100.763,  0.130, -179.360,  0.189 },
{  16,   4,   6,   1884,  210.461,  0.145,  -0.0021,  0.0011, -168.863,  0.040, -100.763,  0.066, -179.605,  0.173 },
{  16,   5,   6,   1969,  226.529,  0.251,   0.0024,  0.0031, -168.859,  0.052, -100.725,  0.044, -179.483,  0.208 },
{  16,   6,   6,   1554,  254.098,  0.324,   0.0115,  0.0015, -168.964,  0.115, -100.657,  0.036, -179.558,  0.193 },
{  16,   7,   6,      0,    0.000,  0.000,   0.0000,  0.0000,    0.000,  0.000,    0.000,  0.000,    0.000,  0.000 },
//     mean xls  -168.9011 mean yls  -100.7396 mean zls  -179.5310 

// zrange -155.0 to -148.0  n= 11914 mean   -152.267 rms   59.656 
//{sec, mir, zbd,  n,     psi,    +-,      tanl,   +-,    xl,      +- ,     yl,      +- ,     zl ,     +-   }, 
{  16,   1,   5,   1964,  173.017,  0.081,  -0.0169,  0.0003, -169.124,  0.006, -100.536,  0.052, -152.394,  0.171 },
{  16,   2,   5,    292,  185.113,  0.156,  -0.0027,  0.0010, -169.077,  0.013, -100.553,  0.122, -152.070,  0.182 },
{  16,   3,   5,   1571,  194.067,  0.270,   0.0079,  0.0017, -169.032,  0.035, -100.574,  0.130, -152.069,  0.198 },
{  16,   4,   5,   1924,  210.036,  0.112,   0.0215,  0.0008, -169.014,  0.033, -100.464,  0.055, -152.274,  0.166 },
{  16,   5,   5,    667,  229.883,  0.343,   0.0420,  0.0030, -169.413,  0.119, -100.059,  0.103, -152.216,  0.215 },
{  16,   6,   5,    301,  233.911,  0.282,   0.0422,  0.0039, -168.730,  0.198, -100.584,  0.141, -152.358,  0.289 },
{  16,   7,   5,   2001,  251.489,  0.195,   0.0560,  0.0010, -169.241,  0.309, -100.271,  0.106, -152.474,  0.183 },
//     mean xls  -169.1171 mean yls  -100.4320 mean zls  -152.3015 

// zrange -125.0 to -115.0  n= 13720 mean   -121.263 rms   59.656 
//{sec, mir, zbd,  n,     psi,    +-,      tanl,   +-,    xl,      +- ,     yl,      +- ,     zl ,     +-   }, 
{  16,   1,   4,   1540,  162.989,  0.273,  -0.0194,  0.0015, -169.175,  0.039, -101.236,  0.129, -121.551,  0.182 },
{  16,   2,   4,   1951,  191.066,  0.178,  -0.0180,  0.0012, -169.078,  0.070, -101.255,  0.168, -121.241,  0.192 },
{  16,   3,   4,   1423,  200.286,  0.212,  -0.0113,  0.0027, -169.049,  0.053, -101.231,  0.139, -121.048,  0.216 },
{  16,   4,   4,   1660,  210.754,  0.185,  -0.0175,  0.0013, -169.042,  0.065, -101.172,  0.107, -121.369,  0.183 },
{  16,   5,   4,   1881,  226.793,  0.341,  -0.0091,  0.0037, -169.032,  0.086, -101.127,  0.080, -121.210,  0.212 },
{  16,   6,   4,   1553,  253.526,  0.294,  -0.0020,  0.0008, -169.096,  0.330, -101.051,  0.097, -121.250,  0.185 },
{  16,   7,   4,      0,    0.000,  0.000,   0.0000,  0.0000,    0.000,  0.000,    0.000,  0.000,    0.000,  0.000 },
//     mean xls  -169.0769 mean yls  -101.1792 mean zls  -121.2781 

// zrange  -97.0 to  -87.0  n= 275 mean    -93.073 rms   59.656 
//{sec, mir, zbd,  n,     psi,    +-,      tanl,   +-,    xl,      +- ,     yl,      +- ,     zl ,     +-   }, 
{  16,   1,   3,     10,  171.250,  0.287,   0.0103,  0.0020, -169.617,  0.037, -100.444,  0.244,  -91.911,  0.276 },
{  16,   2,   3,     22,  185.033,  0.297,   0.0134,  0.0014, -169.576,  0.017, -100.467,  0.191,  -91.599,  0.198 },
{  16,   3,   3,     71,  194.332,  0.353,   0.0141,  0.0043, -169.528,  0.059, -100.525,  0.218,  -91.424,  0.259 },
{  16,   4,   3,      0,    0.000,  0.000,   0.0000,  0.0000,    0.000,  0.000,    0.000,  0.000,    0.000,  0.000 },
{  16,   5,   3,      0,    0.000,  0.000,   0.0000,  0.0000,    0.000,  0.000,    0.000,  0.000,    0.000,  0.000 },
{  16,   6,   3,      0,    0.000,  0.000,   0.0000,  0.0000,    0.000,  0.000,    0.000,  0.000,    0.000,  0.000 },
{  16,   7,   3,      0,    0.000,  0.000,   0.0000,  0.0000,    0.000,  0.000,    0.000,  0.000,    0.000,  0.000 },
//     mean xls  -169.5468 mean yls  -100.5048 mean zls   -91.5087 

// zrange  -64.0 to  -58.0  n= 8117 mean    -60.707 rms   59.656 
//{sec, mir, zbd,  n,     psi,    +-,      tanl,   +-,    xl,      +- ,     yl,      +- ,     zl ,     +-   }, 
{  16,   1,   2,      5,  158.071,  0.677,   0.0588,  0.0050, -169.686,  0.047, -101.270,  0.125,  -60.846,  0.254 },
{  16,   2,   2,    196,  185.407,  0.291,   0.0691,  0.0006, -169.572,  0.014, -101.346,  0.123,  -60.787,  0.185 },
{  16,   3,   2,    990,  196.606,  0.168,   0.0663,  0.0010, -169.573,  0.030, -101.158,  0.102,  -60.680,  0.173 },
{  16,   4,   2,   1111,  210.497,  0.234,   0.0630,  0.0013, -169.540,  0.088, -101.156,  0.148,  -60.882,  0.187 },
{  16,   5,   2,    666,  221.997,  0.162,   0.0589,  0.0012, -169.451,  0.078, -101.217,  0.084,  -60.687,  0.198 },
{  16,   6,   2,   2142,  251.452,  0.321,   0.0369,  0.0013, -169.723,  0.350, -101.011,  0.113,  -60.721,  0.189 },
{  16,   7,   2,      0,    0.000,  0.000,   0.0000,  0.0000,    0.000,  0.000,    0.000,  0.000,    0.000,  0.000 },
//     mean xls  -169.6126 mean yls  -101.1110 mean zls   -60.7463 

// zrange  -38.0 to  -30.0  n= 7767 mean    -33.279 rms   59.656 
//{sec, mir, zbd,  n,     psi,    +-,      tanl,   +-,    xl,      +- ,     yl,      +- ,     zl ,     +-   }, 
{  16,   1,   1,   1586,  172.356,  0.226,  -0.0124,  0.0012, -169.834,  0.014, -100.787,  0.099,  -33.433,  0.181 },
{  16,   2,   1,    355,  186.023,  0.254,  -0.0047,  0.0012, -169.783,  0.021, -100.943,  0.179,  -33.138,  0.184 },
{  16,   3,   1,   1356,  193.561,  0.252,  -0.0137,  0.0012, -169.711,  0.061, -101.060,  0.235,  -33.109,  0.194 },
{  16,   4,   1,   1855,  210.219,  0.164,  -0.0006,  0.0010, -169.741,  0.049, -100.779,  0.082,  -33.341,  0.188 },
{  16,   5,   1,   1597,  230.356,  0.280,   0.0052,  0.0015, -169.938,  0.191, -100.551,  0.150,  -33.173,  0.177 },
{  16,   6,   1,      2,  234.714,  0.140,   0.0108,  0.0007, -169.112,  0.090, -101.129,  0.059,  -33.274,  0.007 },
{  16,   7,   1,    288,  251.640,  0.513,   0.0175,  0.0037, -169.942,  0.150, -100.611,  0.051,  -33.553,  0.225 },
//     mean xls  -169.8110 mean yls  -100.7849 mean zls   -33.2775 

//  R3452_1_bight2.root  sector 18 , invp cut at 0.2 
// zrange -185.0 to -175.0  n= 3099 mean   -179.485 rms   59.656 
//{sec, mir, zbd,  n,     psi,    +-,      tanl,   +-,    xl,      +- ,     yl,      +- ,     zl ,     +-   }, 
{  18,   1,   6,      0,    0.000,  0.000,   0.0000,  0.0000,    0.000,  0.000,    0.000,  0.000,    0.000,  0.000 },
{  18,   2,   6,      0,    0.000,  0.000,   0.0000,  0.0000,    0.000,  0.000,    0.000,  0.000,    0.000,  0.000 },
{  18,   3,   6,      0,    0.000,  0.000,   0.0000,  0.0000,    0.000,  0.000,    0.000,  0.000,    0.000,  0.000 },
{  18,   4,   6,    802,  271.518,  0.313,   0.0158,  0.0037,    2.724,  0.158, -196.611,  0.004, -179.500,  0.216 },
{  18,   5,   6,   1751,  285.971,  0.240,   0.0134,  0.0017,    2.713,  0.088, -196.616,  0.025, -179.381,  0.189 },
{  18,   6,   6,    545,  314.023,  0.485,  -0.0026,  0.0094,    2.654,  0.081, -196.686,  0.078, -179.797,  0.301 },
{  18,   7,   6,      0,    0.000,  0.000,   0.0000,  0.0000,    0.000,  0.000,    0.000,  0.000,    0.000,  0.000 },
//     mean xls     2.7055 mean yls  -196.6268 mean zls  -179.4847 

// zrange -155.0 to -148.0  n= 1917 mean   -152.000 rms   59.656 
//{sec, mir, zbd,  n,     psi,    +-,      tanl,   +-,    xl,      +- ,     yl,      +- ,     zl ,     +-   }, 
{  18,   1,   5,      0,    0.000,  0.000,   0.0000,  0.0000,    0.000,  0.000,    0.000,  0.000,    0.000,  0.000 },
{  18,   2,   5,      1,  246.753, -0.000,   0.0130, -0.0000,    2.277, -0.000, -196.616, -0.000, -152.131, -0.000 },
{  18,   3,   5,   1430,  255.062,  0.492,   0.0032,  0.0016,    2.337,  0.156, -196.634,  0.043, -151.972,  0.185 },
{  18,   4,   5,      0,    0.000,  0.000,   0.0000,  0.0000,    0.000,  0.000,    0.000,  0.000,    0.000,  0.000 },
{  18,   5,   5,    110,  289.328,  0.482,  -0.0048,  0.0051,    1.691,  0.199, -196.829,  0.064, -152.199,  0.260 },
{  18,   6,   5,    373,  293.513,  0.444,   0.0173,  0.0055,    2.603,  0.199, -196.484,  0.089, -152.045,  0.287 },
{  18,   7,   5,      3,  312.019,  0.222,   0.0133,  0.0028,    2.320,  0.128, -196.599,  0.116, -152.439,  0.298 },
//     mean xls     2.3517 mean yls  -196.6159 mean zls  -152.0000 

// zrange -125.0 to -115.0  n= 967 mean   -121.109 rms   59.656 
//{sec, mir, zbd,  n,     psi,    +-,      tanl,   +-,    xl,      +- ,     yl,      +- ,     zl ,     +-   }, 
{  18,   1,   4,      1,  222.208, -0.000,   0.0163, -0.0000,    3.249, -0.000, -197.354, -0.000, -121.437, -0.000 },
{  18,   2,   4,      0,    0.000,  0.000,   0.0000,  0.0000,    0.000,  0.000,    0.000,  0.000,    0.000,  0.000 },
{  18,   3,   4,      0,    0.000,  0.000,   0.0000,  0.0000,    0.000,  0.000,    0.000,  0.000,    0.000,  0.000 },
{  18,   4,   4,     72,  271.434,  0.410,   0.0490,  0.0111,    2.949,  0.105, -197.049,  0.002, -121.194,  0.282 },
{  18,   5,   4,    894,  288.240,  0.315,   0.0476,  0.0023,    3.060,  0.154, -197.013,  0.053, -121.101,  0.213 },
{  18,   6,   4,      0,    0.000,  0.000,   0.0000,  0.0000,    0.000,  0.000,    0.000,  0.000,    0.000,  0.000 },
{  18,   7,   4,      0,    0.000,  0.000,   0.0000,  0.0000,    0.000,  0.000,    0.000,  0.000,    0.000,  0.000 },
//     mean xls     3.0519 mean yls  -197.0163 mean zls  -121.1086 

// zrange  -97.0 to  -87.0  n= 8771 mean    -91.568 rms   59.656 
//{sec, mir, zbd,  n,     psi,    +-,      tanl,   +-,    xl,      +- ,     yl,      +- ,     zl ,     +-   }, 
{  18,   1,   3,   1993,  233.219,  0.167,   0.0338,  0.0011,    2.029,  0.077, -196.992,  0.059,  -91.676,  0.189 },
{  18,   2,   3,   1958,  245.395,  0.146,   0.0363,  0.0007,    2.171,  0.072, -197.068,  0.034,  -91.574,  0.174 },
{  18,   3,   3,   1756,  254.719,  0.218,   0.0411,  0.0016,    2.357,  0.124, -197.094,  0.031,  -91.389,  0.193 },
{  18,   4,   3,   1731,  271.000,  0.252,   0.0387,  0.0025,    2.183,  0.368, -197.013,  0.012,  -91.509,  0.298 },
{  18,   5,   3,    109,  289.145,  0.324,   0.0368,  0.0028,    1.990,  0.165, -197.043,  0.057,  -91.314,  0.216 },
{  18,   6,   3,      2,  296.579,  0.841,   0.0232,  0.0086,    2.499,  0.150, -196.800,  0.076,  -91.933,  0.095 },
{  18,   7,   3,    916,  312.500,  0.417,   0.0223,  0.0018,    1.952,  0.159, -197.118,  0.149,  -91.719,  0.192 },
//     mean xls     2.1528 mean yls  -197.0492 mean zls   -91.5586 

// zrange  -64.0 to  -58.0  n= 2873 mean    -60.747 rms   59.656 
//{sec, mir, zbd,  n,     psi,    +-,      tanl,   +-,    xl,      +- ,     yl,      +- ,     zl ,     +-   }, 
{  18,   1,   2,    657,  222.596,  0.394,   0.0449,  0.0035,    2.727,  0.138, -197.454,  0.151,  -61.083,  0.257 },
{  18,   2,   2,      0,    0.000,  0.000,   0.0000,  0.0000,    0.000,  0.000,    0.000,  0.000,    0.000,  0.000 },
{  18,   3,   2,      0,    0.000,  0.000,   0.0000,  0.0000,    0.000,  0.000,    0.000,  0.000,    0.000,  0.000 },
{  18,   4,   2,      5,  271.277,  0.359,   0.0300,  0.0053,    2.556,  0.189, -197.441,  0.003,  -60.716,  0.152 },
{  18,   5,   2,   1511,  285.766,  0.283,   0.0193,  0.0017,    2.807,  0.104, -197.412,  0.030,  -60.620,  0.183 },
{  18,   6,   2,    663,  315.463,  0.458,  -0.0061,  0.0019,    2.633,  0.111, -197.519,  0.110,  -60.677,  0.193 },
{  18,   7,   2,      0,    0.000,  0.000,   0.0000,  0.0000,    0.000,  0.000,    0.000,  0.000,    0.000,  0.000 },
//     mean xls     2.7475 mean yls  -197.4470 mean zls   -60.7408 

// zrange  -38.0 to  -30.0  n= 10072 mean    -33.336 rms   59.656 
//{sec, mir, zbd,  n,     psi,    +-,      tanl,   +-,    xl,      +- ,     yl,      +- ,     zl ,     +-   }, 
