// table produced by Bill Love  7/ 1/2000 
//  R351027_1g.root  sector 14 , invp cut at 0.1 
// zrange -185.0 to -175.0  n= 3605 mean   -179.227 rms   61.586 
//{sec, mir, zbd,  n,     psi,    +-,      tanl,   +-,    xl,      +- ,     yl,      +- ,     zl ,     +-   }, 
{  14,   1,   1,    117,  113.886,  0.133,   0.0042,  0.0007, -171.969,  0.081,   96.783,  0.035,  -32.168,  0.188 },
{  14,   2,   1,    461,  126.354,  0.239,   0.0120,  0.0002, -171.886,  0.153,   96.877,  0.107,  -32.029,  0.172 },
{  14,   3,   1,    174,  134.480,  0.200,   0.0162,  0.0004, -172.277,  0.131,   96.546,  0.132,  -31.915,  0.177 },
{  14,   4,   1,    500,  151.502,  0.078,   0.0239,  0.0002, -172.132,  0.029,   96.660,  0.065,  -32.002,  0.168 },
{  14,   5,   1,    190,  170.808,  0.252,   0.0294,  0.0010, -171.968,  0.042,   97.398,  0.206,  -32.046,  0.183 },
{  14,   6,   1,    267,  175.551,  0.473,   0.0292,  0.0019, -172.098,  0.020,   96.661,  0.298,  -32.170,  0.202 },
{  14,   7,   1,    497,  192.722,  0.168,   0.0306,  0.0003, -172.124,  0.024,   96.858,  0.109,  -32.282,  0.167 },
//     mean xls  -172.0633 mean yls    96.8111 mean zls   -32.0970 

//  R351027_1g.root  sector 16 , invp cut at 0.1 
// zrange -185.0 to -175.0  n= 3562 mean   -179.197 rms   61.586 
//{sec, mir, zbd,  n,     psi,    +-,      tanl,   +-,    xl,      +- ,     yl,      +- ,     zl ,     +-   }, 
{  16,   1,   6,    492,  164.965,  0.114,  -0.0136,  0.0005, -168.941,  0.018, -100.749,  0.071, -179.318,  0.167 },
{  16,   2,   6,    482,  188.829,  0.231,  -0.0072,  0.0010, -168.903,  0.043, -100.754,  0.282, -179.146,  0.183 },
{  16,   3,   6,    347,  196.466,  0.222,  -0.0028,  0.0007, -168.764,  0.085, -101.148,  0.261, -179.007,  0.183 },
{  16,   4,   6,    490,  210.748,  0.067,  -0.0014,  0.0003, -168.924,  0.061, -100.656,  0.079, -179.160,  0.167 },
{  16,   5,   6,    500,  226.584,  0.043,   0.0047,  0.0001, -168.938,  0.077, -100.657,  0.160, -178.978,  0.166 },
{  16,   6,   6,    452,  254.210,  0.385,   0.0114,  0.0005, -168.944,  0.103, -100.663,  0.029, -179.112,  0.168 },
{  16,   7,   6,    330,  274.667,  0.175,   0.0170,  0.0014, -168.952,  0.092, -100.673,  0.008, -179.239,  0.171 },
//     mean xls  -168.9138 mean yls  -100.7443 mean zls  -179.1376 

// zrange -155.0 to -148.0  n= 4492 mean   -151.762 rms   61.586 
//{sec, mir, zbd,  n,     psi,    +-,      tanl,   +-,    xl,      +- ,     yl,      +- ,     zl ,     +-   }, 
{  16,   1,   5,    337,  173.451,  0.160,  -0.0156,  0.0006, -169.091,  0.010, -100.262,  0.076, -151.723,  0.174 },
{  16,   2,   5,    334,  185.394,  0.180,  -0.0016,  0.0010, -169.100,  0.007, -100.302,  0.081, -151.437,  0.175 },
{  16,   3,   5,    495,  194.316,  0.124,   0.0087,  0.0002, -169.068,  0.026, -100.437,  0.128, -151.463,  0.165 },
{  16,   4,   5,    497,  210.293,  0.029,   0.0227,  0.0002, -169.087,  0.080, -100.339,  0.111, -151.668,  0.165 },
{  16,   5,   5,    163,  230.229,  0.955,   0.0416,  0.0029, -169.663,  0.115,  -99.844,  0.101, -151.587,  0.236 },
{  16,   6,   5,     51,  233.715,  0.270,   0.0461,  0.0011, -168.857,  0.123, -100.495,  0.089, -151.639,  0.178 },
{  16,   7,   5,    500,  251.248,  0.044,   0.0565,  0.0003, -169.089,  0.023, -100.325,  0.008, -151.843,  0.167 },
