6140019	20050520	84038	1099
6140020	20050520	85748	1070
6140021	20050520	91437	1090
6140022	20050520	93132	1170
6140023	20050520	95258	1271
6140024	20050520	101057	1241
6140025	20050520	103123	1194
6140026	20050520	105033	641
6140028	20050520	111312	1171
6140029	20050520	113244	1311
6140030	20050520	115450	1162
6140031	20050520	121711	1218
6140032	20050520	123727	522
6140033	20050520	125036	1321
6140034	20050520	131304	1224
6140035	20050520	133528	1416
6140036	20050520	135706	459
6140054	20050520	232142	427
6140066	20050521	4209	1185
6140067	20050521	10103	1163
6140068	20050521	11724	1157
6140074	20050521	20828	1500
6140075	20050521	22653	1117
6140076	20050521	24607	1257
6141009	20050521	104128	1242
6141010	20050521	105713	704
6141011	20050521	110906	1287
6141022	20050521	123745	963
6141023	20050521	125231	521
6141026	20050521	131812	1324
6141027	20050521	133656	1142
6141028	20050521	135554	1219
6141029	20050521	141523	1278
6141030	20050521	143335	1020
6141031	20050521	145400	1262
6141032	20050521	151201	1092
6141033	20050521	153216	1235
6141061	20050521	223519	1273
6141062	20050521	225440	1101
6141063	20050521	231451	1119
6141064	20050521	233654	1243
6141065	20050521	235747	1120
6141066	20050522	1747	790
6141068	20050522	4735	1261
6141069	20050522	10814	24620
6142001	20050522	40506	1117
6142002	20050522	42105	865
6142003	20050522	44418	1023
6142004	20050522	50005	1203
6142005	20050522	51603	1072
6142006	20050522	53234	1125
6142007	20050522	54907	1157
6142008	20050522	60559	832
6142010	20050522	63925	1140
6142011	20050522	65730	1192
6142012	20050522	71521	1193
6142013	20050522	73846	1174
6142014	20050522	75718	1195
6142015	20050522	81608	1300
6142016	20050522	83528	1178
6142017	20050522	85452	1133
6142018	20050522	91412	747
6142020	20050522	93415	35606
6142021	20050522	95442	45426
6142022	20050522	101456	26760
6142024	20050522	105118	1362
6142025	20050522	111231	1174
6142026	20050522	113356	955
6142027	20050522	115734	948
6142038	20050522	145037	1197
6142039	20050522	150558	1189
6142040	20050522	152111	1171
6142041	20050522	153657	1006
6142042	20050522	155524	665
6142043	20050522	160830	1215
6142044	20050522	162617	1165
6142045	20050522	164328	1086
6142049	20050522	173210	1283
6142050	20050522	175210	1258
6142051	20050522	181030	1096
6142052	20050522	182947	1119
6142053	20050522	184922	1390
6142054	20050522	190806	408
6142055	20050522	191738	1213
6142056	20050522	193708	953
6142057	20050522	195332	378
6142060	20050522	201827	5779
6142063	20050522	202645	24035
6142064	20050522	204249	23272
6142077	20050522	235016	1025
6142078	20050523	532	1189
6142079	20050523	2119	1256
6142080	20050523	3753	1364
6142081	20050523	5338	1373
6142082	20050523	11009	1343
6142084	20050523	13628	1591
6142087	20050523	21524	1286
6142088	20050523	23301	732
6142089	20050523	25103	308
6142093	20050523	31545	648
6142094	20050523	33705	1265
6142097	20050523	40011	1262
6143001	20050523	41841	1255
6143002	20050523	43746	1343
6143012	20050523	75552	1055
6143013	20050523	81132	1320
6143014	20050523	82752	1040
6143015	20050523	84442	1314
6143016	20050523	90132	1304
6143017	20050523	91845	1236
6143018	20050523	93605	1273
6143019	20050523	95417	993
6143022	20050523	104047	436
6143023	20050523	105457	1411
6143024	20050523	111410	1320
6143025	20050523	113341	1361
6143027	20050523	120041	1344
6143028	20050523	122105	40282
6143033	20050523	131317	47904
6144017	20050524	64917	1028
6144019	20050524	72410	1822
6144020	20050524	75051	1664
6144021	20050524	81741	1726
6144022	20050524	84539	1799
6144023	20050524	91216	1859
6144024	20050524	94008	1655
6144027	20050524	103134	2355
6144028	20050524	103426	70492
6144029	20050524	110511	3318
6144051	20050524	205650	2133
6144052	20050524	212716	2089
6144053	20050524	215727	1570
6144054	20050524	222418	1360
6144057	20050524	230607	1585
6144058	20050524	233310	1401
6144059	20050524	235944	1273
6144060	20050525	2724	760
6144061	20050525	5336	1409
6144063	20050525	12250	1244
6144066	20050525	21122	1318
6144067	20050525	23846	40049
6145011	20050525	74124	27596
6145018	20050525	90626	1096
6145019	20050525	93302	822
6145039	20050525	173037	6565
6145041	20050525	175536	46191
6145053	20050525	201237	1102
6145054	20050525	203942	706
6145055	20050525	210346	1247
6145056	20050525	213933	1187
6145057	20050525	220620	320
6145058	20050525	221747	593
6146017	20050526	84359	386
6146018	20050526	85548	894
6146019	20050526	91651	524
