4041031	20030210	235527	1212
4041036	20030211	11431	1118
4041038	20030211	24137	975
4041043	20030211	50816	245
4042010	20030212	24504	658
4042014	20030212	41032	1294
4042016	20030212	45320	1160
4042017	20030212	53838	1069
4043005	20030212	71958	814
4043006	20030212	80646	1019
4044004	20030213	114508	1126
4044005	20030213	122320	313
4044027	20030214	11108	6460
4044028	20030214	15035	7754
4044029	20030214	23053	7383
4044032	20030214	32039	6660
4044033	20030214	40231	1555
4044034	20030214	42056	4899
4044035	20030214	50706	3492
4044036	20030214	55040	3072
4045007	20030214	125204	3255
4045008	20030214	133539	6759
4045009	20030214	141518	3276
4045010	20030214	144156	2342
4045011	20030214	151908	4350
4045012	20030214	155918	102
4045014	20030214	165112	5928
4045015	20030214	173405	5031
4045017	20030214	183539	2312
4045018	20030214	191837	200
4045032	20030215	12508	545
4045033	20030215	15045	1157
4045035	20030215	23518	1111
4045036	20030215	31801	968
4045039	20030215	40601	836
4045040	20030215	45051	993
4046002	20030215	60539	935
4046003	20030215	65324	898
4046005	20030215	73929	960
4046016	20030215	192059	696
4046018	20030215	201945	1087
4046020	20030215	210853	1011
4046021	20030215	220254	897
4047010	20030216	71352	650
4047011	20030216	75914	995
4047014	20030216	92834	861
4047015	20030216	101004	902
4047017	20030216	105615	823
4047018	20030216	114045	817
4047019	20030216	122207	853
4047027	20030216	183519	1013
4047029	20030216	192556	942
4047031	20030216	200849	662
4047032	20030216	204732	656
4047034	20030216	212943	585
4047035	20030216	221051	722
4047039	20030217	31154	1101
4047040	20030217	35401	762
4047044	20030217	45514	1059
4047045	20030217	53609	383
4048001	20030217	64544	4
4048002	20030217	64831	853
4048004	20030217	73110	842
4060011	20030301	65706	857
4060016	20030301	75438	27
4060017	20030301	75612	1481
4060020	20030301	85433	1432
4060021	20030301	93116	1343
4060023	20030301	100956	1157
4060024	20030301	104306	1243
4060026	20030301	112452	1224
4060027	20030301	120153	491
4060055	20030301	181840	1597
4060056	20030301	191200	613
4060058	20030301	193647	396
4060059	20030301	195550	315
4060064	20030301	203524	1197
4060067	20030301	212349	967
4060074	20030301	225122	660
4060078	20030301	234033	177
4060086	20030302	2437	106
4060094	20030302	54843	772
4061001	20030302	61817	32
4061008	20030302	121936	1201
4061023	20030302	152203	402
4061032	20030302	201057	159
4062007	20030303	162950	1969
4062010	20030303	175545	1200
4062011	20030303	185302	382
4062012	20030303	191227	608
4062061	20030304	50822	131
4062062	20030304	51449	41
4063041	20030304	201315	616
4063045	20030304	204857	276
4065049	20030306	230428	237
4065063	20030307	23726	15
4065064	20030307	24851	15
4065065	20030307	25152	1021
4065068	20030307	35751	1113
4065069	20030307	43553	742
4066002	20030307	74604	960
4066003	20030307	82031	1097
4066009	20030307	92959	945
4066010	20030307	100746	1153
4066011	20030307	104225	590
4066012	20030307	111812	904
4066013	20030307	115151	1312
4066014	20030307	122745	211
4066016	20030307	130155	787
4066017	20030307	134443	127
4066045	20030308	21606	2193
4066053	20030308	35510	386
4066054	20030308	40411	2214
4066056	20030308	43318	1449
4066057	20030308	45850	2876
4066058	20030308	53432	4124
4068004	20030309	162332	3045
4068009	20030309	171840	470
4068023	20030309	234906	533
4068024	20030309	235451	6936
4070056	20030312	31650	403
4070058	20030312	33423	878
4072009	20030313	114648	2991
4072036	20030314	12525	58
4072037	20030314	12813	77
4072040	20030314	14321	395
4072043	20030314	20720	191
4072044	20030314	21154	2080
4072053	20030314	31415	5
4072055	20030314	32506	3610
4072057	20030314	34948	9287
4072058	20030314	44932	201
4072059	20030314	45619	679
4072061	20030314	51621	1310
4073005	20030314	81855	5784
4073008	20030314	100748	2844
4073009	20030314	102511	3603
4073012	20030314	105404	4637
4073013	20030314	112222	4126
4073019	20030314	121735	1600
4073053	20030314	192259	867
4073080	20030315	53530	3458
4074005	20030315	84405	1145
4074006	20030315	92334	3594
4074015	20030315	151914	2195
4074016	20030315	161725	180
4074018	20030315	163815	352
4074041	20030315	230450	1520
4074052	20030316	31552	4972
4075008	20030316	94757	1668
4075009	20030316	100931	5829
4075012	20030316	113103	10906
4075013	20030316	123306	9937
4075014	20030316	134017	2773
4075044	20030317	43334	3242
4076006	20030317	65320	1020
4076008	20030317	71842	107
4076012	20030317	142032	600
4076015	20030317	150643	1724
4077004	20030318	72200	3039
4077022	20030318	114429	363
4077023	20030318	122202	6151
4077028	20030318	134705	3996
4077061	20030319	31042	1178
4078007	20030319	130503	4755
4078010	20030319	144610	633
4078013	20030319	150700	643
4079029	20030320	151621	3199
4079030	20030320	154314	7011
4079033	20030320	165050	554
4079035	20030320	165930	1863
4079037	20030320	172559	3747
4079038	20030320	181658	4367
4079057	20030321	24932	4884
4079058	20030321	35920	1593
4079061	20030321	42003	1226
4079063	20030321	50134	1572
4079067	20030321	53645	1696
4080001	20030321	60237	938
4080003	20030321	61723	2287
4080019	20030321	82020	1327
4080025	20030321	92440	3078
4080026	20030321	100344	2397
4080027	20030321	103533	2230
4080029	20030321	112122	613
4080033	20030321	122931	5861
4080034	20030321	133013	3988
