  1.250E+00  2.817E+08
  1.750E+00  2.668E+07
  2.250E+00  4.521E+06
  2.750E+00  1.067E+06
  3.250E+00  3.218E+05
  3.750E+00  1.147E+05
  4.250E+00  4.634E+04
  4.750E+00  2.072E+04
  5.250E+00  1.004E+04
  5.750E+00  5.182E+03
  6.250E+00  2.818E+03
  6.750E+00  1.603E+03
  7.250E+00  9.492E+02
  7.750E+00  5.767E+02
  8.250E+00  3.619E+02
  8.750E+00  2.328E+02
  9.250E+00  1.525E+02
  9.750E+00  1.022E+02
  1.025E+01  6.951E+01
  1.075E+01  4.813E+01
  1.125E+01  3.380E+01
  1.175E+01  2.397E+01
  1.225E+01  1.724E+01
  1.275E+01  1.250E+01
  1.325E+01  9.169E+00
  1.375E+01  6.787E+00
  1.425E+01  5.060E+00
  1.475E+01  3.807E+00
  1.525E+01  2.880E+00
  1.575E+01  2.189E+00
  1.625E+01  1.681E+00
  1.675E+01  1.295E+00
  1.725E+01  1.001E+00
  1.775E+01  7.792E-01
  1.825E+01  6.094E-01
  1.875E+01  4.778E-01
  1.925E+01  3.761E-01
  1.975E+01  2.979E-01
  2.025E+01  2.365E-01
  2.075E+01  1.883E-01
  2.125E+01  1.503E-01
  2.175E+01  1.207E-01
  2.225E+01  9.695E-02
  2.275E+01  7.792E-02
  2.325E+01  6.291E-02
  2.375E+01  5.094E-02
  2.425E+01  4.135E-02
  2.475E+01  3.356E-02
  2.525E+01  2.737E-02
