  1.250E+00  5.760E+08
  1.750E+00  6.788E+07
  2.250E+00  1.158E+07
  2.750E+00  2.730E+06
  3.250E+00  8.025E+05
  3.750E+00  2.795E+05
  4.250E+00  1.099E+05
  4.750E+00  4.761E+04
  5.250E+00  2.233E+04
  5.750E+00  1.120E+04
  6.250E+00  5.914E+03
  6.750E+00  3.266E+03
  7.250E+00  1.882E+03
  7.750E+00  1.119E+03
  8.250E+00  6.850E+02
  8.750E+00  4.315E+02
  9.250E+00  2.763E+02
  9.750E+00  1.814E+02
  1.025E+01  1.215E+02
  1.075E+01  8.281E+01
  1.125E+01  5.707E+01
  1.175E+01  3.990E+01
  1.225E+01  2.830E+01
  1.275E+01  2.025E+01
  1.325E+01  1.468E+01
  1.375E+01  1.074E+01
  1.425E+01  7.908E+00
  1.475E+01  5.908E+00
  1.525E+01  4.412E+00
  1.575E+01  3.334E+00
  1.625E+01  2.540E+00
  1.675E+01  1.944E+00
  1.725E+01  1.493E+00
  1.775E+01  1.156E+00
  1.825E+01  8.989E-01
  1.875E+01  7.011E-01
  1.925E+01  5.501E-01
  1.975E+01  4.337E-01
  2.025E+01  3.435E-01
  2.075E+01  2.728E-01
  2.125E+01  2.171E-01
  2.175E+01  1.732E-01
  2.225E+01  1.391E-01
  2.275E+01  1.121E-01
  2.325E+01  9.004E-02
  2.375E+01  7.280E-02
  2.425E+01  5.903E-02
  2.475E+01  4.801E-02
  2.525E+01  3.905E-02
