1.72823         0.0454485       0.00199599             
2.4176          0.00580689      0.000347398            
3.44085         0.000561395     8.24626e-05            
4.24647         0.000107884     2.68105e-06            
4.74358         4.68922e-05     1.17016e-06            
5.49136         1.38836e-05     1.88094e-07            
6.47964         3.36886e-06     6.16823e-08            
7.47384         1.17597e-06     2.81959e-08            
8.90543         3.17957e-07     8.96234e-09            
10.8908         6.98762e-08     3.81697e-09            
12.8885         1.17573e-08     1.57255e-09            
15.3202         3.38533e-09     6.40285e-10            
