   P10ep1.DAT, CH4    09:39:55   28-May-03 N2=64
  ASSM64.DAT   09:36:46   28-May-03 df/dE for CH4, N2=64                
   10.000   16.043   .00071576   .00066692 Z, A, rho                    
   8.6000  287.800  200.000   first E, K-shell & sbb                    
   64    8.6422   1.01089 1.08304E-02  N2, E(1), um, u                  
   ( SABRAr2.DAT   08:55:52   27-May-03 )                               
  18.00  39.9480  .001782  .001661 Z, A, rho                            
     10.600     248.50    1100.00 first E, L-shell & sbb                
   64   10.6312   1.01089 1.08304E-02  N2, E(2), um, u                  
     .000     .000     .050 df/dE coefficients                          
    J  E(J)[eV]     ep(2,J)      ep(1,J)      df/dE(J)
   83 2.10050E+01  8.34957E-04 -2.9263E-04  3.23457E-01
   84 2.12340E+01  8.23141E-04 -3.0225E-04  3.22354E-01
   85 2.14650E+01  8.11984E-04 -3.1104E-04  3.21436E-01
   86 2.16990E+01  8.01333E-04 -3.2011E-04  3.20675E-01
   87 2.19350E+01  7.90478E-04 -3.2956E-04  3.19771E-01
   88 2.21740E+01  7.78747E-04 -3.3888E-04  3.18464E-01
   89 2.24150E+01  7.66166E-04 -3.4716E-04  3.16733E-01
   90 2.26590E+01  7.53848E-04 -3.5462E-04  3.15024E-01
   91 2.29060E+01  7.42095E-04 -3.6213E-04  3.13492E-01
   92 2.31550E+01  7.30386E-04 -3.7021E-04  3.11898E-01
   93 2.34070E+01  7.17497E-04 -3.7824E-04  3.09736E-01
   94 2.36620E+01  7.03138E-04 -3.8431E-04  3.06843E-01
   95 2.39200E+01  6.90439E-04 -3.8901E-04  3.04588E-01
   96 2.41810E+01  6.80237E-04 -3.9564E-04  3.03360E-01
   97 2.44440E+01  6.68611E-04 -4.0402E-04  3.01415E-01
   98 2.47100E+01  6.54759E-04 -4.1129E-04  2.98389E-01
   99 2.49790E+01  6.41385E-04 -4.1779E-04  2.95470E-01
  100 2.52510E+01  6.27484E-04 -4.2447E-04  2.92217E-01
  101 2.55260E+01  6.11223E-04 -4.2749E-04  2.87741E-01
  102 2.58040E+01  6.01229E-04 -4.2802E-04  2.86114E-01
  103 2.60850E+01  6.04348E-04 -4.4365E-04  2.90741E-01
  104 2.63690E+01  5.92692E-04 -4.7666E-04  2.88228E-01
  105 2.66560E+01  5.42164E-04 -4.8757E-04  2.66533E-01
  106 2.69460E+01  4.98723E-04 -4.6153E-04  2.47842E-01
  107 2.72400E+01  4.99438E-04 -4.4596E-04  2.50909E-01
  108 2.75370E+01  4.94274E-04 -4.4957E-04  2.51011E-01
  109 2.78360E+01  4.89252E-04 -4.6609E-04  2.51177E-01
  110 2.81390E+01  4.53083E-04 -4.6477E-04  2.35114E-01
  111 2.84460E+01  4.50155E-04 -4.6442E-04  2.36168E-01
  112 2.87560E+01  4.32491E-04 -4.7977E-04  2.29360E-01
  113 2.90690E+01  3.92618E-04 -4.7663E-04  2.10483E-01
  114 2.93850E+01  3.69793E-04 -4.6021E-04  2.00406E-01
  115 2.97050E+01  3.59285E-04 -4.5266E-04  1.96825E-01
  116 3.00290E+01  3.43640E-04 -4.5060E-04  1.90314E-01
  117 3.03560E+01  3.25686E-04 -4.4647E-04  1.82329E-01
  118 3.06860E+01  3.08579E-04 -4.4063E-04  1.74634E-01
  119 3.10200E+01  2.92602E-04 -4.3445E-04  1.67396E-01
  120 3.13580E+01  2.77562E-04 -4.2871E-04  1.60515E-01
