# E [eV]	eps1	eps2	Im(-1/eps)
# Palik Vol.  I			
1.0416	12.4	0.0000024	1.56087E-08
1.0504	12.42	0.00000536	3.47473E-08
1.0594	12.43	0.0000154	9.96732E-08
1.0685	12.45	0.0000319	2.05803E-07
1.0778	12.46	0.0000517	3.33008E-07
1.0873	12.48	0.0000673	4.32102E-07
1.0969	12.49	0.000108	6.92307E-07
1.1	12.5	0.000114	7.296E-07
1.1067	12.51	0.00013	8.3067E-07
1.1167	12.53	0.000188	1.19745E-06
1.1268	12.55	0.000248	1.57458E-06
1.1372	12.57	0.000332	2.1012E-06
1.1477	12.59	0.000427	2.69387E-06
1.1584	12.61	0.000544	3.42112E-06
1.1693	12.63	0.000779	4.8835E-06
1.1805	12.65	0.00107	6.68656E-06
1.1918	12.67	0.00153	9.53099E-06
1.2	12.69	0.00167	1.03703E-05
1.2034	12.7	0.0019	1.178E-05
1.2152	12.72	0.00232	1.43388E-05
1.2272	12.75	0.00287	1.76547E-05
1.2395	12.77	0.0037	2.26892E-05
1.3	12.91	1.09E-02	6.53994E-05
1.4	13.17	2.35E-02	0.000135486
# Palik Vol.  I			
1.5	13.490904	0.03673	0.000201807
1.52	13.549725	0.044172	0.000240592
1.54	13.601308	0.044256	0.000239225
1.56	13.66776	0.051758	0.000277062
1.58	13.726976	0.05187	0.000275271
1.6	13.793732	0.059424	0.000312313
1.62	13.845777	0.059536	0.000310554
1.64	13.897903	0.067104	0.000347408
1.66	13.957615	0.067248	0.000345181
1.68	14.024925	0.0749	0.000380775
1.7	14.077404	0.07504	0.000378648
1.72	14.145	0.082742	0.000413528
1.74	14.197703	0.082896	0.000411228
1.76	14.27314	0.090672	0.000445058
1.78	14.3412	0.098462	0.000478715
1.8	14.409447	0.098696	0.000475318
1.82	14.477856	0.09893	0.000471954
1.84	14.554029	0.10682	0.00050427
1.86	14.638051	0.11478	0.00053564
1.88	14.722313	0.122784	0.000566447
1.9	14.799153	0.123104	0.000562042
1.92	14.883875	0.131172	0.000592073
1.94	14.976576	0.13932	0.000621085
1.96	15.069563	0.147516	0.000649525
1.98	15.154965	0.171292	0.000745713
2	15.256352	0.171864	0.000738292
2.02	15.350148	0.188064	0.000798023
2.04	15.452136	0.19655	0.000823049
2.06	15.546624	0.19715	0.000815558
2.08	15.649207	0.213624	0.000872136
2.1	15.752061	0.23814	0.000959529
2.12	15.863389	0.23898	0.000949448
2.14	15.97528	0.215838	0.000845574
2.16	16.095244	0.24072	0.000929009
2.18	16.20752	0.273768	0.001041899
2.2	16.33674	0.258688	0.000969029
2.22	16.457805	0.308332	0.001137948
2.24	16.588305	0.260672	0.000947072
2.26	16.717985	0.359832	0.001286858
2.28	16.8573	0.361328	0.001270943
2.3	16.996825	0.395808	0.001369347
2.32	17.137575	0.3726	0.001268057
